clustered,ecoinvent_prod,model_similarity
wine design,"glass wool mat, uncoated, Saint-Gobain ISOVER SA",0.6450580406
wine design,"packaging glass, green",0.6448177301
wine design,"glass cullet, for Saint-Gobain ISOVER SA",0.6443289433
wine design,"cork, raw",0.6441546153
wine design,"purse seiner maintenance, wood",0.6440397979
kitchen furniture design studios,"wood preservation facility, oscillating pressure method",0.646955387
kitchen furniture design studios,"wood preservation facility, vacuum pressure method",0.6456292682
kitchen furniture design studios,"joist, engineered wood",0.6427658966
kitchen furniture design studios,"purse seiner maintenance, wood",0.6417160684
kitchen furniture design studios,"sawnwood, hardwood, raw",0.6415788053
flat products,flat glass factory,0.6675261013
flat products,EUR-flat pallet,0.6666905933
flat products,dairy,0.6615588321
flat products,folding boxboard carton,0.6604927395
flat products,"flat plate solar collector, Cu absorber",0.6599387584
long products,"protein pea, feed, Swiss integrated production",0.6579753866
long products,"used long liner, steel",0.6575721332
long products,"protein feed, 100% crude",0.6564888542
long products,"long liner, steel",0.6557830641
long products,"protein pea, Swiss integrated production",0.6555208812
mim products for medical technology,silicone product,0.6622738615
mim products for medical technology,"inductor, low value multilayer chip",0.6602170189
mim products for medical technology,"silicon, multi-Si, casted",0.656679978
mim products for medical technology,"solder, paste, Sn63Pb37, for electronics industry",0.6550253332
mim products for medical technology,"inductor, miniature radio frequency chip",0.6546631273
rubber overmoulding machines,thermoforming of plastic sheets,0.6472398119
rubber overmoulding machines,stretch blow moulding,0.6468178674
rubber overmoulding machines,"extrusion of plastic sheets and thermoforming, inline",0.6439528125
rubber overmoulding machines,"deep drawing, steel, 38000 kN press, automode",0.6425059508
rubber overmoulding machines,paper machine,0.6423337668
blasting technology,blasting,0.658752207
blasting technology,blow moulding,0.6475344584
blasting technology,blast furnace,0.6472852667
blasting technology,"impact extrusion of steel, cold, initial surface treatment",0.6470884917
blasting technology,titanium,0.6457058503
citrus treatment,"orange, processing grade",0.6607091262
citrus treatment,"orange, fresh grade",0.6605166052
citrus treatment,lemon,0.6569228951
citrus treatment,mustard,0.6551304374
citrus treatment,"tomato, fresh grade",0.6538550991
property valuers commercial,"land tenure, arable land, measured as carbon net primary productivity, annual crop",0.649228213
property valuers commercial,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",0.6488646608
property valuers commercial,"land tenure, arable land, measured as carbon net primary productivity, forest, intensive",0.6484039835
property valuers commercial,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",0.6474501583
property valuers commercial,"operation, computer, desktop, home use",0.6419629588
ultrasonic soldering iron,titanium,0.6501602874
ultrasonic soldering iron,iron sinter,0.6472765748
ultrasonic soldering iron,"cast iron removed by drilling, computer numerical controlled",0.6461946908
ultrasonic soldering iron,"titanium, triple-melt",0.6460944577
ultrasonic soldering iron,iron sulfate,0.6457182598
coach rental,bus,0.6545496752
coach rental,used bus,0.6501171809
coach rental,"transport, passenger coach",0.6472906751
coach rental,"maintenance, bus",0.6472313199
coach rental,"maintenance, motor scooter",0.6442784385
"foods, precooked","protein feed, 100% crude",0.6587409046
"foods, precooked",meat and bone meal,0.6581146861
"foods, precooked","fishmeal, 63-65% protein",0.6571558463
"foods, precooked","protein pea, feed, Swiss integrated production",0.6568690047
"foods, precooked","fishmeal, 65-67% protein",0.656737374
"clothes, children's",waste yarn and waste textile,0.6558831512
"clothes, children's","textile, nonwoven polypropylene",0.6556526649
"clothes, children's","textile, nonwoven polyester",0.655526377
"clothes, children's","yarn, silk",0.6554395424
"clothes, children's","textile, knit cotton",0.655041504
clothes,"textile, silk",0.6673720333
clothes,"textile, nonwoven polyester",0.6664031169
clothes,"textile, nonwoven polypropylene",0.662986769
clothes,"textile, kenaf",0.6628368093
clothes,"textile, knit cotton",0.6624568875
precision machine shops,"metal working machine, unspecified",0.6537758284
precision machine shops,"laser machining, metal, with YAG-laser, 500W power",0.6522634715
precision machine shops,"laser machining, metal, with YAG-laser, 330W power",0.6521821957
precision machine shops,"laser machining, metal, with YAG-laser, 200W power",0.6517469385
precision machine shops,"laser machining, metal, with YAG-laser, 30W power",0.6515735527
hotel,"building, budget hotel",0.6610846413
hotel,"building, luxury hotel",0.6603409381
hotel,"building operation, budget hotel",0.6598799937
hotel,"building operation, luxury hotel",0.6567491038
hotel,"building, upmarket hotel",0.6564347764
hi-fi system,internet access equipment,0.6532108087
hi-fi system,"electric connector, peripheral type buss",0.6496471619
hi-fi system,"electric connector, peripheral component interconnect buss",0.6483698573
hi-fi system,"electricity, medium voltage",0.647173528
hi-fi system,"power adapter, for laptop",0.6467807952
industrial piping,"sewer grid, rural",0.6545453193
industrial piping,"polyethylene pipe, DN 200, SDR 41",0.6541610501
industrial piping,"polyethylene pipe, corrugated, DN 75",0.6522382322
industrial piping,"sewer grid, urban",0.6512707003
industrial piping,"sewer grid, 4.7E10l/year, 583 km",0.6503089898
insurance in spain,"transport, passenger car, small size, petrol, EURO 3",0.6462105899
insurance in spain,"transport, passenger car, small size, natural gas, EURO 3",0.6461031192
insurance in spain,"transport, passenger car, medium size, natural gas, EURO 5",0.6460896341
insurance in spain,"transport, passenger car, medium size, petrol, EURO 3",0.6460832579
insurance in spain,"transport, passenger car, medium size, natural gas, EURO 3",0.6460794548
wood lacquering,"wood preservation facility, oscillating pressure method",0.6567254893
wood lacquering,"wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet",0.6550033864
wood lacquering,"wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact",0.6549029884
wood lacquering,"wood preservation, dipping/immersion method, water-based, indoor use, dry",0.6546543132
wood lacquering,"wood preservation, hot/cold dipping, creosote, outdoor use, ground contact",0.6536491381
punching tools,keyboard,0.6502485667
punching tools,"laser machining, metal, with YAG-laser, 500W power",0.6496592652
punching tools,"laser machining, metal, with YAG-laser, 50W power",0.6491582254
punching tools,"laser machining, metal, with YAG-laser, 330W power",0.6491540551
punching tools,"laser machining, metal, with YAG-laser, 60W power",0.6490237226
childcare articles,milking parlour,0.6492249553
childcare articles,almond,0.6451592968
childcare articles,"paper, melamine impregnated",0.6443924784
childcare articles,dairy,0.6417565525
childcare articles,nylon 6-6,0.6408857596
excavation work,"excavation, skid-steer loader",0.6676639158
excavation work,"excavation, hydraulic digger",0.663105336
excavation work,"recultivation, dolomite mine",0.6529125201
excavation work,"mine infrastructure, open cast, lignite",0.6517243918
excavation work,dolomite quarry infrastructure,0.650999482
rail vehicle interior fittings,"cladding, crossbar-pole, aluminium",0.6634926322
rail vehicle interior fittings,"wood cladding, softwood",0.6621174651
rail vehicle interior fittings,"door, outer, wood-aluminium",0.6565524416
rail vehicle interior fittings,"used door, outer, wood-aluminium",0.6519299012
rail vehicle interior fittings,"door, inner, wood",0.6506449459
foam rubber case inserts,"door, inner, wood",0.6420876645
foam rubber case inserts,"exhaust air valve, in-wall housing, plastic/steel, DN 125",0.641930508
foam rubber case inserts,"sealing tape, aluminium/PE, 50 mm wide",0.6411209393
foam rubber case inserts,"door, outer, wood-aluminium",0.6410052409
foam rubber case inserts,plastic tunnel,0.6398189444
farm vehicles,light commercial vehicle,0.6708304794
farm vehicles,"transport, tractor and trailer, agricultural",0.6674915924
farm vehicles,"maintenance, light commercial vehicle",0.6668205469
farm vehicles,used light commercial vehicle,0.6658817051
farm vehicles,agricultural trailer,0.6655118219
plastic nets,"nylon 6, glass-filled",0.6518736424
plastic nets,"sealing tape, aluminium/PE, 50 mm wide",0.6491556884
plastic nets,"nylon 6-6, glass-filled",0.6491521785
plastic nets,nylon 6,0.6489636666
plastic nets,floating collar cage,0.6479640792
pasteurisers,"metallization paste, front side",0.653116094
pasteurisers,"metallization paste, back side",0.6527195175
pasteurisers,"selective coat, copper sheet, sputter deposition",0.650310317
pasteurisers,"metallization paste, back side, aluminium",0.6497425068
pasteurisers,"printing ink, rotogravure, without solvent, in 55% toluene solution state",0.6497045509
exotic plants,green asparagus,0.6651542757
exotic plants,"asparagus seedling, for planting",0.6643919871
exotic plants,"miscanthus rhizome, for planting",0.6627396999
exotic plants,cauliflower,0.6614458246
exotic plants,"willow stem cutting, for planting",0.6569609633
customised beakers,"carbon fibre reinforced plastic, injection moulded",0.6388716554
customised beakers,"exhaust air valve, in-wall housing, plastic/steel, DN 125",0.6386108389
customised beakers,"used outside air intake stainless steel, DN 370",0.6377894603
customised beakers,"used exhaust air valve in-wall housing, plastic/steel",0.6376441915
customised beakers,clinker,0.6376355801
made-to-measure lounge furniture,"furniture, wooden",0.6596630252
made-to-measure lounge furniture,"wood cladding, softwood",0.6458307306
made-to-measure lounge furniture,"glass fibre reinforced plastic, polyester resin, hand lay-up",0.6439852516
made-to-measure lounge furniture,plywood,0.6432637044
made-to-measure lounge furniture,"shavings, hardwood, loose, measured as dry mass",0.6430601353
flavourings for cooking,celery,0.6643425494
flavourings for cooking,"sweetening, natural gas",0.6619430219
flavourings for cooking,mustard,0.6597966154
flavourings for cooking,"buttermilk, from cow milk",0.6596452798
flavourings for cooking,"used vegetable cooking oil, purified",0.6593628514
recycled polyethylene terephtalate,"polystyrene foam slab with graphite, 6% recycled",0.6561161806
recycled polyethylene terephtalate,"polyethylene terephthalate, granulate, amorphous, recycled",0.6532893799
recycled polyethylene terephtalate,"polyethylene, high density, granulate, recycled",0.652923715
recycled polyethylene terephtalate,"polystyrene foam slab, 10% recycled",0.6528119745
recycled polyethylene terephtalate,"polyethylene terephthalate, granulate, bottle grade, recycled",0.6522883552
marine propellers,marine electric motor,0.6455395857
marine propellers,marine engine,0.6434018711
marine propellers,helicopter,0.6421436636
marine propellers,"wind turbine, 2MW, onshore",0.6418453545
marine propellers,"wind turbine, 2.3MW, onshore",0.6417935706
granular cocoa,cocoa bean,0.666691424
granular cocoa,"activated carbon, granular",0.6609345416
granular cocoa,barley grain,0.6569722767
granular cocoa,glyphosate,0.6569107211
granular cocoa,"polylactide, granulate",0.6565351862
food argan,meat and bone meal,0.6667474024
food argan,"fishmeal, 63-65% protein",0.6622888439
food argan,"fishmeal, 65-67% protein",0.6620770803
food argan,barley grain,0.6601018936
food argan,refrigerator,0.6595563746
cloves,stalk,0.6452975795
cloves,atrazine,0.6437434173
cloves,vanilla,0.6430094713
cloves,lemon,0.6423895648
cloves,"paper, melamine impregnated",0.642369146
coconuts,"coconut, dehusked",0.6731773552
coconuts,coconut husk,0.6726274965
coconuts,"coconut oil, crude",0.6620581501
coconuts,pineapple,0.6577048644
coconuts,palm fruit bunch,0.6559662653
oat milk powders,"skimmed milk, from cow milk",0.6724318316
oat milk powders,"cream, from cow milk",0.6703884318
oat milk powders,"buttermilk, from cow milk",0.6676566195
oat milk powders,cow milk,0.6676282629
oat milk powders,oat grain,0.6672367837
linear bearing,"section bar rolling, steel",0.6480584246
linear bearing,"impact extrusion of aluminium, deformation stroke",0.645501964
linear bearing,"impact extrusion of aluminium, 1 stroke",0.6434359956
linear bearing,"swath, by rotary windrower",0.64280688
linear bearing,"impact extrusion of aluminium, 5 strokes",0.6423336616
cartridge valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",0.6495537154
cartridge valves,used air filter in exhaust air valve,0.6420883308
cartridge valves,"used exhaust air valve in-wall housing, plastic/steel",0.6408203668
cartridge valves,"inductor, ring core choke type",0.6396285622
cartridge valves,"ventilation duct, elbow 90�, steel, 100x50 mm",0.6395941544
pipes for petrochemicals,"extrusion, plastic pipes",0.6604452623
pipes for petrochemicals,"polyethylene pipe, DN 200, SDR 41",0.6520941952
pipes for petrochemicals,"borehole heat exchanger, 150m",0.6516159178
pipes for petrochemicals,"pump, 40W",0.6498027966
pipes for petrochemicals,wastewater from tube collector production,0.6495035316
sectional rail couplings,"railway track, for high-speed train",0.6485532984
sectional rail couplings,railway track,0.6482232555
sectional rail couplings,"swath, by rotary windrower",0.6448807105
sectional rail couplings,"electric connector, peripheral component interconnect buss",0.6430041736
sectional rail couplings,"spiral-seam duct, steel, DN 125",0.6427119204
glass mosaics,ceramic tile,0.6563191571
glass mosaics,"glass wool mat, uncoated, Saint-Gobain ISOVER SA",0.6556072238
glass mosaics,"panel glass, for cathode ray tube display",0.6522822295
glass mosaics,clay plaster,0.6507931888
glass mosaics,roof tile,0.6498793391
high-performance flat belts,"printed wiring board, mounted mainboard, laptop computer, Pb free",0.639220773
high-performance flat belts,"calendering, rigid sheets",0.6379789162
high-performance flat belts,"printed wiring board, mounted mainboard, desktop computer, Pb free",0.6378059659
high-performance flat belts,"soft solder, Sn97Cu3",0.6375066728
high-performance flat belts,"printed wiring board, mounted mainboard, mobile device, double-sided, Pb free",0.6374526235
welding fittings,"welding, arc, steel",0.6539286723
welding fittings,"welding, gas, steel",0.6511214942
welding fittings,"welding, arc, aluminium",0.647063472
welding fittings,"cladding, crossbar-pole, aluminium",0.6447914059
welding fittings,"used room-connecting overflow element steel, approx. 40 m3/h",0.6447622237
additives for engines,"electrolyte, KOH, LiOH additive",0.663094854
additives for engines,"petrol, two-stroke blend",0.6565821517
additives for engines,manual dismantling of used passenger car with internal combustion engine,0.6529203522
additives for engines,"catalytic converter, oxidation, 20 litre",0.6516454127
additives for engines,"diesel, burned in agricultural machinery",0.651458396
mozzarellas,zucchini,0.6440359849
mozzarellas,broccoli,0.640478163
mozzarellas,breadcrumbs,0.6393261675
mozzarellas,banana,0.6355697524
mozzarellas,cucumber,0.6317468722
organic beef,"cattle for slaughtering, live weight",0.6725143055
organic beef,"soybean, Swiss integrated production",0.6687055503
organic beef,"chicken for slaughtering, live weight",0.6680703184
organic beef,"weaned heifers, live weight",0.6679911696
organic beef,"soybean, organic",0.6678371084
chain saws,"power saw, with catalytic converter",0.6583436624
chain saws,"power sawing, with catalytic converter",0.6572307529
chain saws,"power saw, without catalytic converter",0.652713724
chain saws,"power sawing, without catalytic converter",0.6526124682
chain saws,"wire drawing, steel",0.6519210458
second-hand barrels,"sawlog and veneer log, softwood, debarked, measured as solid wood",0.6478787381
second-hand barrels,"used silencer steel, DN 315",0.6473815586
second-hand barrels,"sawlog and veneer log, azobe, debarked, measured as solid wood",0.6467099487
second-hand barrels,"used silencer steel, DN 125",0.6460327607
second-hand barrels,"sawlog and veneer log, meranti, debarked, measured as solid wood",0.645650389
rum,green liquor dregs,0.6575811866
rum,fatty alcohol,0.6542171526
rum,"cork, raw",0.6527623018
rum,fermentation filtrate,0.6516746033
rum,Distiller's Dried Grains with Solubles,0.6516318171
alloy,iron-nickel-chromium alloy,0.6694303146
alloy,"aluminium, cast alloy",0.6691338772
alloy,"magnesium-alloy, AZ91",0.6690913105
alloy,"magnesium-alloy, AZ91, diecast",0.6685342258
alloy,"aluminium alloy, AlLi",0.668189413
tea bag,paper sack,0.656971056
tea bag,"tea, dried",0.6520042283
tea bag,white lined chipboard carton,0.6471580406
tea bag,folding boxboard carton,0.646799044
tea bag,"sugarcane transfer, by dump cart",0.6443027865
artificial flowers,"willow stem cutting, for planting",0.6579112557
artificial flowers,"asparagus seedling, for planting",0.6565855922
artificial flowers,"onion seedling, for planting",0.6549511632
artificial flowers,horticultural fleece,0.6544504225
artificial flowers,planting tree,0.6541846532
fittings,stretch blow moulding,0.640035983
fittings,"door, outer, wood-aluminium",0.6392654272
fittings,"cladding, crossbar-pole, aluminium",0.6388554877
fittings,"swath, by rotary windrower",0.6376817912
fittings,"ventilation of dwellings, decentralized, 6 x 120 m3/h",0.6374746809
rubber wheels,bicycle,0.6572850286
rubber wheels,"maintenance, motor scooter",0.6527787733
rubber wheels,used motor scooter,0.6519725578
rubber wheels,electric bicycle,0.6503031602
rubber wheels,used tyre,0.6502193641
preserved fish,marine fish,0.6649882555
preserved fish,"small pelagic fish, fresh",0.6607949438
preserved fish,"fish freezing, small fish",0.6601618891
preserved fish,trout,0.6597747461
preserved fish,"fishmeal, 63-65% protein",0.6580228242
tinned fish,"fish curing, small fish",0.6680450419
tinned fish,"trout feed, 42% protein",0.6670494382
tinned fish,"small pelagic fish, fresh",0.6662583569
tinned fish,trout,0.6655271408
tinned fish,"demersal fish, fresh",0.6642644557
"fish, salt-water","small pelagic fish, fresh",0.6810383007
"fish, salt-water","fish freezing, small fish",0.6768195711
"fish, salt-water","demersal fish, fresh",0.6764361758
"fish, salt-water",marine fish,0.6750025649
"fish, salt-water",trout,0.6736973552
drums,"silencer, steel, DN 125",0.6345913278
drums,lead,0.634031336
drums,"toner module, laser printer, black/white",0.632091495
drums,"used silencer steel, DN 125",0.6319272393
drums,"used silencer steel, DN 315",0.6317407399
precision balls,"swath, by rotary windrower",0.6422421523
precision balls,pitch,0.6400970709
precision balls,"laser machining, metal, with YAG-laser, 500W power",0.6391891371
precision balls,"laser machining, metal, with YAG-laser, 330W power",0.6391133854
precision balls,"laser machining, metal, with YAG-laser, 30W power",0.6388427698
banana sweet potato,banana,0.6694781772
banana sweet potato,potato,0.668649636
banana sweet potato,"potato seed, for setting",0.6592628906
banana sweet potato,cucumber,0.6589088614
banana sweet potato,palm kernel meal,0.6586556763
3d scanner,"laser machining, metal, with YAG-laser, 60W power",0.6480899372
3d scanner,"deep drawing, steel, 38000 kN press, automode",0.6480485233
3d scanner,"laser machining, metal, with YAG-laser, 50W power",0.6478010553
3d scanner,"laser machining, metal, with YAG-laser, 30W power",0.647735333
3d scanner,"laser machining, metal, with YAG-laser, 40W power",0.6477279953
soft drinks,green liquor dregs,0.6645321658
soft drinks,Distiller's Dried Grains with Solubles,0.6622559948
soft drinks,"soda ash, light",0.6580901381
soft drinks,soybean beverage,0.6564750556
soft drinks,"soft solder, Sn97Cu3",0.6547885043
lubricating oil,lubricating oil,0.6743952232
lubricating oil,light fuel oil,0.6543019497
lubricating oil,bilge oil,0.6511025511
lubricating oil,petroleum refinery,0.6507253915
lubricating oil,base oil,0.6503831739
bags,paper sack,0.6637898136
bags,"lorry with refrigeration machine, R134a as refrigerant, 16 metric ton",0.6530390343
bags,"lorry with refrigeration machine, carbon dioxide, liquid as refrigerant, 16 metric ton",0.6515029676
bags,"aircraft, belly freight, medium haul",0.6509438641
bags,folding boxboard carton,0.6505007848
canned food,soybean meal,0.6706924036
canned food,"protein feed, 100% crude",0.6704947665
canned food,meat and bone meal,0.6690048848
canned food,"protein pea, feed, Swiss integrated production",0.6679613552
canned food,cottonseed meal,0.6678114844
batteries,"battery cell, Li-ion, LiMn2O4",0.6770284213
batteries,"battery, Li-ion, NMC811, rechargeable, prismatic",0.6764685033
batteries,"battery, Li-ion, NMC111, rechargeable, prismatic",0.6764483322
batteries,"battery, Li-ion, LiMn2O4, rechargeable, prismatic",0.6757734106
batteries,"battery, Li-ion, NCA, rechargeable, prismatic",0.6751710495
stainless steel ball valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",0.6399047137
stainless steel ball valves,"spiral-seam duct, steel, DN 125",0.6387578322
stainless steel ball valves,"ventilation duct, elbow 90�, steel, 100x50 mm",0.6373367553
stainless steel ball valves,"spiral-seam duct, steel, DN 400",0.6367413903
stainless steel ball valves,"hot rolling, steel",0.6364020602
office machines,used desktop computer,0.6702467037
office machines,"computer, desktop, without screen",0.6690244143
office machines,"computer, laptop",0.6686309743
office machines,"machine, for treatment of waste electric and electronic equipment",0.6667060209
office machines,paper machine,0.6666778271
pneumatic system components,"electronic component, active, unspecified",0.6438160794
pneumatic system components,"maintenance, tram",0.6432279443
pneumatic system components,used ventilation control and wiring decentralized unit,0.6428518463
pneumatic system components,"ventilation control and wiring, decentralized unit",0.642572601
pneumatic system components,ventilation components factory,0.6421782447
entry control system,"air filter, decentralized unit, 180-250 m3/h",0.6459486293
entry control system,"air filter, decentralized unit, 250 m3/h",0.6458350846
entry control system,air separation facility,0.6452417577
entry control system,"control cabinet, heat and power co-generation unit, 160kW electrical",0.6446760602
entry control system,"ventilation control and wiring, decentralized unit",0.6444466209
optical instruments,"pointing device, optical mouse, with cable",0.6534146461
optical instruments,"optical brighteners, for paper production",0.6497316637
optical instruments,"silicon, single crystal, Czochralski process, photovoltaics",0.6471520651
optical instruments,"liquid crystal display, unmounted, mobile device",0.6470863399
optical instruments,"frit, for cathode ray tube display",0.6467197189
concrete formwork panels,"lightweight concrete block, polystyrene",0.6586924686
concrete formwork panels,"fibre-reinforced concrete, steel",0.6586171495
concrete formwork panels,"lightweight concrete block, expanded clay",0.6570566923
concrete formwork panels,"lightweight concrete block, pumice",0.6561722617
concrete formwork panels,concrete roof tile,0.6561295902
bulk material,"titania slag, 85% titanium dioxide",0.6624839782
bulk material,"titania slag, 94% titanium dioxide",0.661939539
bulk material,"waste bulk iron, excluding reinforcement",0.6613522614
bulk material,"wafer, fabricated, for integrated circuit",0.6596264034
bulk material,"bulk carrier, for dry goods",0.6586134099
screw compressor,"air compressor, screw-type compressor, 4kW",0.6761402083
screw compressor,"air compressor, screw-type compressor, 300kW",0.6750177786
screw compressor,"ventilation duct, elbow 90�, steel, 100x50 mm",0.6517633112
screw compressor,"ventilation duct, steel, 100x50 mm",0.6487642775
screw compressor,"ventilation duct, connection piece, steel, 100x50 mm",0.6484865881
foristry,"forging, steel",0.6457854266
foristry,folpet,0.6444671965
foristry,"selective coat, copper sheet, sputter deposition",0.6433827822
foristry,"sputtering, indium tin oxide, for liquid crystal display",0.6410987594
foristry,"residues, MSWI[F]-WWT, WW from LCD backlight production",0.6410757714
light commercial vehicles,light commercial vehicle,0.694227951
light commercial vehicles,used light commercial vehicle,0.685350468
light commercial vehicles,"maintenance, light commercial vehicle",0.6777874916
light commercial vehicles,"glider, passenger car",0.6707828344
light commercial vehicles,"transport, freight, light commercial vehicle",0.6690385881
binding,"zinc coat, coils",0.6400528923
binding,"selective coat, stainless steel sheet, black chrome",0.6387081419
binding,ethane,0.638249381
binding,"silver, unrefined",0.6380868906
binding,reinforcing steel,0.6370988855
organic peroxides,"hydrogen peroxide, without water, in 50% solution state",0.6630689806
organic peroxides,hydrogen cyanide,0.654979077
organic peroxides,carbon disulfide,0.653650278
organic peroxides,"nitrate salts, for solar power application",0.6531244685
organic peroxides,"alkylketene dimer sizing agent, for paper production",0.6530498124
metallurgy installations,"metal working, average for chromium steel product manufacturing",0.6665383495
metallurgy installations,"metal working, average for steel product manufacturing",0.6643359144
metallurgy installations,"metal working machine, unspecified",0.6639052281
metallurgy installations,metal working factory,0.6630909509
metallurgy installations,"metal working, average for copper product manufacturing",0.6630286175
clean room processes,"cleaning consumables, without water, in 13.6% solution state",0.6566853446
clean room processes,"operation, computer, desktop, with liquid crystal display, standby mode",0.6548358073
clean room processes,"operation, computer, desktop, with liquid crystal display, off mode",0.6541149291
clean room processes,"operation, computer, desktop, with liquid crystal display, active mode",0.6540213491
clean room processes,washing machine,0.6528628628
shipyards repairs,"maintenance, barge",0.6510528599
shipyards repairs,"maintenance, intermodal shipping container, 40-foot",0.6486769475
shipyards repairs,"trawler maintenance, steel",0.6486520575
shipyards repairs,"maintenance, intermodal shipping container, 20-foot",0.6484376212
shipyards repairs,"maintenance, ferry",0.6484291685
"salvaging, scrap iron","iron scrap, unsorted",0.6680836331
"salvaging, scrap iron","recultivation, iron mine",0.6655200588
"salvaging, scrap iron","iron scrap, sorted, pressed",0.6634124988
"salvaging, scrap iron",scrap copper,0.6624909042
"salvaging, scrap iron",scrap steel,0.6619898505
countersinks,clinker,0.643703348
countersinks,tin concentrate,0.6428812824
countersinks,"sputtering, indium tin oxide, for liquid crystal display",0.6427759434
countersinks,"delimbing/sorting, excavator-based processor",0.6423957955
countersinks,"tempering, flat glass",0.6414886845
pharmaceutical products,refrigerant R134a,0.6635944548
pharmaceutical products,injection moulding,0.6629887805
pharmaceutical products,"protein feed, 100% crude",0.6629638748
pharmaceutical products,"protein pea, organic",0.661978515
pharmaceutical products,"N,N-dimethylformamide",0.6614447483
development,"planning, cogen unit mini CHP plant",0.652301238
development,irrigation,0.6504951822
development,planting,0.6502430403
development,pitch,0.6496481604
development,"building operation, hostel",0.6475913702
sludge treatment consulting,"sludge, NaCl electrolysis",0.6461061895
sludge treatment consulting,"sludge, NaCl electrolysis Hg",0.644510164
sludge treatment consulting,"sewage sludge, 70% water, WWT, WW, average",0.6444901664
sludge treatment consulting,"sewage sludge, 75% water, WWT, WW, average",0.6440345245
sludge treatment consulting,"manual treatment facility, waste electric and electronic equipment",0.6438065968
milling technology,"laser machining, metal, with YAG-laser, 500W power",0.6590157986
milling technology,"laser machining, metal, with YAG-laser, 200W power",0.6582809548
milling technology,"laser machining, metal, with YAG-laser, 330W power",0.6581695297
milling technology,"laser machining, metal, with YAG-laser, 50W power",0.6579996466
milling technology,"laser machining, metal, with YAG-laser, 60W power",0.6579988397
