Activity UUID_Product UUID;Activity Name;Geography;Reference Product Name
dbba511b-eaf3-50ef-9ac5-6b883a209e4b_36a34f57-eadf-441b-a354-a10fe3d5f2bc;2,4-dinitrotoluene production;RoW;2,4-dinitrotoluene
e83bfa4b-4fa5-5623-976b-80086cd36179_36a34f57-eadf-441b-a354-a10fe3d5f2bc;2,4-dinitrotoluene production;RER;2,4-dinitrotoluene
776ee643-c986-591a-8a68-ac204ddd3f72_4de1ac3c-15ac-5165-9c53-78dd251fdf2c;2,5-dimethylhexane-2,5-dihydroperoxide production;GLO;2,5-dimethylhexane-2,5-dihydroperoxide
a048e7d9-6cfa-5a83-9525-d320a562fcfd_0fd5517a-5e54-5aed-9057-ab93b60324ad;2,6-di-tert-butylphenol production;GLO;2,6-di-tert-butylphenol
bfedb7a3-b59b-5598-b94f-c48b8ee40c09_dab51c45-3349-4fbf-8dbc-cc97ffdd57df;2-butanol production by hydration of butene;RoW;2-butanol
bfedb7a3-b59b-5598-b94f-c48b8ee40c09_aaa1fb85-4e0e-426e-808a-35987bd8d486;2-butanol production by hydration of butene;RoW;butane
fa920f62-9292-5b74-846f-4736d67ef949_dab51c45-3349-4fbf-8dbc-cc97ffdd57df;2-butanol production by hydration of butene;RER;2-butanol
fa920f62-9292-5b74-846f-4736d67ef949_aaa1fb85-4e0e-426e-808a-35987bd8d486;2-butanol production by hydration of butene;RER;butane
d3ceaa24-1a31-5385-aac9-2ad799acb4d9_dafa1eaf-3254-436c-a273-1f38b10ee28e;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RoW;2-cyclopentanone
d3ceaa24-1a31-5385-aac9-2ad799acb4d9_118a9202-6b68-44aa-82b5-2c2bf5bc02cf;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RoW;formic acid
51f070bf-dc34-5522-b181-bb60da87ecbf_dafa1eaf-3254-436c-a273-1f38b10ee28e;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;2-cyclopentanone
51f070bf-dc34-5522-b181-bb60da87ecbf_118a9202-6b68-44aa-82b5-2c2bf5bc02cf;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;formic acid
a39681bd-b61e-5e36-9691-d1ccc52b1972_11bd64cc-4415-44e4-8cf0-edde6adc6b46;2-methyl-2-butanol production;RoW;2-methyl-2-butanol
c4c61eb8-ddaa-5ae3-9249-775efce3944b_11bd64cc-4415-44e4-8cf0-edde6adc6b46;2-methyl-2-butanol production;RER;2-methyl-2-butanol
26ec600b-d78e-585f-afa6-a3bcea2c4644_c6c77fb4-9850-4849-be9e-71fc9656bc03;2-methylpentane to generic market for solvent, organic;GLO;solvent, organic
0992db6e-8891-5d3b-a51b-ad14d1776c65_089f5c04-e340-42c4-bf9c-e8ec6174443a;2-nitroaniline production;RoW;2-nitroaniline
0a036d48-cbd5-5969-b9fa-c2964552b6ea_089f5c04-e340-42c4-bf9c-e8ec6174443a;2-nitroaniline production;RER;2-nitroaniline
b67a369a-a2cf-5b3f-b308-ab100e70addb_e3449af4-a6f1-484b-88c9-eab58f41a250;2-pyridinol production;RoW;2-pyridinol
87a8e499-9f2f-5170-8104-308aeb5d81fa_e3449af4-a6f1-484b-88c9-eab58f41a250;2-pyridinol production;RER;2-pyridinol
da279b52-bb0c-5056-8e07-3d2a16ed176f_ef84c866-e125-4835-8747-ed684e87d36e;3-methyl-1-butyl acetate production;RoW;3-methyl-1-butyl acetate
ec2d09e6-22a1-501b-a249-7ef416926c67_ef84c866-e125-4835-8747-ed684e87d36e;3-methyl-1-butyl acetate production;RER;3-methyl-1-butyl acetate
9355e112-ddd2-5fc5-821d-bffe885c54e9_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04;3-methylpyridine production;RoW;3-methylpyridine
3f114480-7cdf-5b4e-86f6-a8f6e9751e07_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04;3-methylpyridine production;RER;3-methylpyridine
bb5225e7-d39d-53a2-abca-54aee4b6f9ca_d1a3ebf3-e2d5-4da1-8090-664c9160aa33;4-methyl-2-pentanone production;RoW;4-methyl-2-pentanone
a7d1681b-55d9-53df-bb9a-22c5582c469f_d1a3ebf3-e2d5-4da1-8090-664c9160aa33;4-methyl-2-pentanone production;RER;4-methyl-2-pentanone
52fa4d18-d655-5ed9-ac21-5393106b058e_abba9c52-1cf4-40a9-a2bf-2681b3e84b1c;4-tert-butylbenzaldehyde production;RoW;4-tert-butylbenzaldehyde
301434cd-eafe-5a10-9c9a-255e8f17fe47_abba9c52-1cf4-40a9-a2bf-2681b3e84b1c;4-tert-butylbenzaldehyde production;RER;4-tert-butylbenzaldehyde
3531ca99-2595-5862-ae5d-c243210a0117_2f5bfd17-304f-4568-b051-155ed2d2f3b0;4-tert-butyltoluene production;RoW;4-tert-butyltoluene
0884631c-6e37-51c5-aaf5-895a4c479bfd_2f5bfd17-304f-4568-b051-155ed2d2f3b0;4-tert-butyltoluene production;RER;4-tert-butyltoluene
3bef3713-d1a2-54ba-96f0-3577e8b10714_24369ed5-0601-530a-b117-da1d4488eb18;6-benzyladenine production;GLO;6-benzyladenine
0960e679-1778-5773-b9e6-8659f79f90bc_f598c5db-f614-47c6-a037-2ab56003e360;BTX production, from pyrolysis gas, average;RoW;benzene
0960e679-1778-5773-b9e6-8659f79f90bc_2bf8dd55-68b5-4840-b90a-863cac91cdc4;BTX production, from pyrolysis gas, average;RoW;hydrocarbons, aromatic, cyclic (C9+)
0960e679-1778-5773-b9e6-8659f79f90bc_bbedf69c-8580-4168-8993-3c3d729e713f;BTX production, from pyrolysis gas, average;RoW;o-xylene
0960e679-1778-5773-b9e6-8659f79f90bc_052b93eb-4246-4cb8-856b-11cf99e5372f;BTX production, from pyrolysis gas, average;RoW;p-xylene
0960e679-1778-5773-b9e6-8659f79f90bc_39c3a4eb-af30-4d11-8484-aad16e31a2bc;BTX production, from pyrolysis gas, average;RoW;raffinate
0960e679-1778-5773-b9e6-8659f79f90bc_7856dace-7366-43e2-9f81-83d63e579efc;BTX production, from pyrolysis gas, average;RoW;toluene, liquid
0960e679-1778-5773-b9e6-8659f79f90bc_43c61790-cbeb-493e-8836-279a12ce3e43;BTX production, from pyrolysis gas, average;RoW;xylene, mixed
ad750e8d-70c9-50dd-989f-f881aecf040c_f598c5db-f614-47c6-a037-2ab56003e360;BTX production, from pyrolysis gas, average;RER;benzene
ad750e8d-70c9-50dd-989f-f881aecf040c_2bf8dd55-68b5-4840-b90a-863cac91cdc4;BTX production, from pyrolysis gas, average;RER;hydrocarbons, aromatic, cyclic (C9+)
ad750e8d-70c9-50dd-989f-f881aecf040c_bbedf69c-8580-4168-8993-3c3d729e713f;BTX production, from pyrolysis gas, average;RER;o-xylene
ad750e8d-70c9-50dd-989f-f881aecf040c_052b93eb-4246-4cb8-856b-11cf99e5372f;BTX production, from pyrolysis gas, average;RER;p-xylene
ad750e8d-70c9-50dd-989f-f881aecf040c_39c3a4eb-af30-4d11-8484-aad16e31a2bc;BTX production, from pyrolysis gas, average;RER;raffinate
ad750e8d-70c9-50dd-989f-f881aecf040c_7856dace-7366-43e2-9f81-83d63e579efc;BTX production, from pyrolysis gas, average;RER;toluene, liquid
ad750e8d-70c9-50dd-989f-f881aecf040c_43c61790-cbeb-493e-8836-279a12ce3e43;BTX production, from pyrolysis gas, average;RER;xylene, mixed
9bde36c9-79d1-5f92-93ed-81e6864981c7_f598c5db-f614-47c6-a037-2ab56003e360;BTX production, from reformate, average;RoW;benzene
9bde36c9-79d1-5f92-93ed-81e6864981c7_2bf8dd55-68b5-4840-b90a-863cac91cdc4;BTX production, from reformate, average;RoW;hydrocarbons, aromatic, cyclic (C9+)
9bde36c9-79d1-5f92-93ed-81e6864981c7_bbedf69c-8580-4168-8993-3c3d729e713f;BTX production, from reformate, average;RoW;o-xylene
9bde36c9-79d1-5f92-93ed-81e6864981c7_052b93eb-4246-4cb8-856b-11cf99e5372f;BTX production, from reformate, average;RoW;p-xylene
9bde36c9-79d1-5f92-93ed-81e6864981c7_39c3a4eb-af30-4d11-8484-aad16e31a2bc;BTX production, from reformate, average;RoW;raffinate
9bde36c9-79d1-5f92-93ed-81e6864981c7_7856dace-7366-43e2-9f81-83d63e579efc;BTX production, from reformate, average;RoW;toluene, liquid
9bde36c9-79d1-5f92-93ed-81e6864981c7_43c61790-cbeb-493e-8836-279a12ce3e43;BTX production, from reformate, average;RoW;xylene, mixed
e108d61d-72d7-5326-9357-c5d3e5e3cb48_f598c5db-f614-47c6-a037-2ab56003e360;BTX production, from reformate, average;RER;benzene
e108d61d-72d7-5326-9357-c5d3e5e3cb48_2bf8dd55-68b5-4840-b90a-863cac91cdc4;BTX production, from reformate, average;RER;hydrocarbons, aromatic, cyclic (C9+)
e108d61d-72d7-5326-9357-c5d3e5e3cb48_bbedf69c-8580-4168-8993-3c3d729e713f;BTX production, from reformate, average;RER;o-xylene
e108d61d-72d7-5326-9357-c5d3e5e3cb48_052b93eb-4246-4cb8-856b-11cf99e5372f;BTX production, from reformate, average;RER;p-xylene
e108d61d-72d7-5326-9357-c5d3e5e3cb48_39c3a4eb-af30-4d11-8484-aad16e31a2bc;BTX production, from reformate, average;RER;raffinate
e108d61d-72d7-5326-9357-c5d3e5e3cb48_7856dace-7366-43e2-9f81-83d63e579efc;BTX production, from reformate, average;RER;toluene, liquid
e108d61d-72d7-5326-9357-c5d3e5e3cb48_43c61790-cbeb-493e-8836-279a12ce3e43;BTX production, from reformate, average;RER;xylene, mixed
adc05396-0692-5a99-a9ea-ada75ecfbdda_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;BR;C3 hydrocarbon mixture
b1734fd8-d77c-559e-867c-44a19143d793_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;CO;C3 hydrocarbon mixture
d87cacf2-89f6-59c2-8d81-466a2a186e92_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;Europe without Switzerland;C3 hydrocarbon mixture
7cc2642b-bcce-50cd-8e6a-008e852d00b5_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;IN;C3 hydrocarbon mixture
60756db7-ddcb-5646-810c-a20c20dd4798_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;PE;C3 hydrocarbon mixture
d791f681-b878-5fff-b64a-aa47f865f9e7_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;RoW;C3 hydrocarbon mixture
3a0484cf-5f77-57a2-9421-ede8b257ca3e_07f702da-9f08-4082-85ea-6a3586caddd2;C3 hydrocarbon production, mixture, petroleum refinery operation;ZA;C3 hydrocarbon mixture
cec9b880-12d6-53df-81b7-d89cb7b6fbef_7cb72345-4338-4f2d-830f-65bba3530fdb;Distiller's Dried Grains with Solubles to generic market for protein feed;GLO;energy feed, gross
cec9b880-12d6-53df-81b7-d89cb7b6fbef_8b2dfb58-660d-44eb-b83f-5d9e28e467db;Distiller's Dried Grains with Solubles to generic market for protein feed;GLO;protein feed, 100% crude
9c64b8bf-03ce-5405-b78d-a7da3ca716df_9e68d1ff-39d8-4962-a34f-c1cf285a3ff7;EUR-flat pallet production;RoW;EUR-flat pallet
00be2170-7659-5dc0-9d49-b1a075cae710_9e68d1ff-39d8-4962-a34f-c1cf285a3ff7;EUR-flat pallet production;RER;EUR-flat pallet
d79efe06-84a7-5f52-8ff5-9f89fd3a2ee0_b1efaf6a-5552-4de0-bc1d-b65796d9fb30;MOX fuel element production, for light water reactor;RoW;MOX fuel element, for light water reactor
6dc7e289-b460-5573-9789-b49e38c83977_b1efaf6a-5552-4de0-bc1d-b65796d9fb30;MOX fuel element production, for light water reactor;UCTE;MOX fuel element, for light water reactor
d081fc43-e950-5407-9c56-e4e49f51c32f_16303e09-077e-4532-98c2-95fae1eb66fb;N,N-dimethylformamide production, direct synthesis;RoW;N,N-dimethylformamide
e755dade-8c05-5d4d-9c75-79800be63b98_16303e09-077e-4532-98c2-95fae1eb66fb;N,N-dimethylformamide production, direct synthesis;RER;N,N-dimethylformamide
e0a457da-a8ab-5858-8fa4-5a59feb18185_5625ac3e-8ca9-43d4-84a7-a643738095e6;N-methyl-2-pyrrolidone production;RoW;N-methyl-2-pyrrolidone
e6f7adf2-f0c6-56b3-bd5c-4fdf6f37cdbe_5625ac3e-8ca9-43d4-84a7-a643738095e6;N-methyl-2-pyrrolidone production;RER;N-methyl-2-pyrrolidone
fbf67f42-b239-5b7a-a469-d92890bac7a9_e71acee2-c894-4b95-a52c-8bd06f6262d0;NCA hydroxide production, for Li-ion battery;CN;NCA hydroxide
fbf67f42-b239-5b7a-a469-d92890bac7a9_2cfef82e-cb0d-4864-8163-9651fc6c25eb;NCA hydroxide production, for Li-ion battery;CN;sodium sulfate, anhydrite
6d4412a8-867c-5e5e-8b5e-3edef712646c_e71acee2-c894-4b95-a52c-8bd06f6262d0;NCA hydroxide production, for Li-ion battery;RoW;NCA hydroxide
6d4412a8-867c-5e5e-8b5e-3edef712646c_2cfef82e-cb0d-4864-8163-9651fc6c25eb;NCA hydroxide production, for Li-ion battery;RoW;sodium sulfate, anhydrite
236613a0-8ee2-5056-907b-be87b6f2f28c_89e28693-8517-48b2-b6bd-e5dbda067dfc;NCA oxide production, for Li-ion battery;CN;NCA oxide
97b8bf19-6cc1-5cf6-bc68-fa5584fab8e8_89e28693-8517-48b2-b6bd-e5dbda067dfc;NCA oxide production, for Li-ion battery;RoW;NCA oxide
e38b86c8-32dc-583c-ae49-2ae207c15a0a_3ca954ab-d833-4ca4-85d5-e53afa21a1c8;NMC111 hydroxide production, for Li-ion battery;CN;NMC111 hydroxide
e38b86c8-32dc-583c-ae49-2ae207c15a0a_2cfef82e-cb0d-4864-8163-9651fc6c25eb;NMC111 hydroxide production, for Li-ion battery;CN;sodium sulfate, anhydrite
89fed061-36e8-5434-a654-77f3611d828e_3ca954ab-d833-4ca4-85d5-e53afa21a1c8;NMC111 hydroxide production, for Li-ion battery;RoW;NMC111 hydroxide
89fed061-36e8-5434-a654-77f3611d828e_2cfef82e-cb0d-4864-8163-9651fc6c25eb;NMC111 hydroxide production, for Li-ion battery;RoW;sodium sulfate, anhydrite
992cc62b-d850-5dce-a75b-f5896d0d5a11_fa61e123-954d-4c67-a47a-215cc17a7f00;NMC111 oxide production, for Li-ion battery;CN;NMC111 oxide
2541091d-cc5e-5f00-af77-0f29a8567f42_fa61e123-954d-4c67-a47a-215cc17a7f00;NMC111 oxide production, for Li-ion battery;RoW;NMC111 oxide
623da450-3c01-544a-8c57-97cb999d5912_d58b2ab4-8d9f-4be7-9cba-d02bbb8da1df;NMC811 hydroxide production, for Li-ion battery;CN;NMC811 hydroxide
623da450-3c01-544a-8c57-97cb999d5912_2cfef82e-cb0d-4864-8163-9651fc6c25eb;NMC811 hydroxide production, for Li-ion battery;CN;sodium sulfate, anhydrite
dfecf67e-26c7-5d22-9d36-51e3e293e1b6_d58b2ab4-8d9f-4be7-9cba-d02bbb8da1df;NMC811 hydroxide production, for Li-ion battery;RoW;NMC811 hydroxide
dfecf67e-26c7-5d22-9d36-51e3e293e1b6_2cfef82e-cb0d-4864-8163-9651fc6c25eb;NMC811 hydroxide production, for Li-ion battery;RoW;sodium sulfate, anhydrite
b9bb9a0c-304e-5b6c-ba5a-24c37e719385_16492d65-da65-41ea-9c2f-acf7f938b5ab;NMC811 oxide production, for Li-ion battery;CN;NMC811 oxide
f4935726-fe0e-55ed-a53c-769071a87ac9_16492d65-da65-41ea-9c2f-acf7f938b5ab;NMC811 oxide production, for Li-ion battery;RoW;NMC811 oxide
2878d869-bf10-5753-a83a-c0b2a43de386_aa0f0057-073d-55b7-918d-e4d6bed420f3;NPK (15-15-15) fertiliser production;CN;NPK (15-15-15) fertiliser
5de57140-7f5d-5e36-a931-c1aa3dec4a09_aa0f0057-073d-55b7-918d-e4d6bed420f3;NPK (15-15-15) fertiliser production;RoW;NPK (15-15-15) fertiliser
baad2b30-9993-519d-8872-00b533323ef6_aa0f0057-073d-55b7-918d-e4d6bed420f3;NPK (15-15-15) fertiliser production;RER;NPK (15-15-15) fertiliser
ce990128-06cb-5e55-9ff4-c2977c2ca43b_aa0f0057-073d-55b7-918d-e4d6bed420f3;NPK (15-15-15) fertiliser production;RNA;NPK (15-15-15) fertiliser
204fca92-c9b0-5566-be70-4cea8b5308e3_7e04560f-3d56-57a7-9a92-04237f3014c9;NPK (26-15-15) fertiliser production;CN;NPK (26-15-15) fertiliser
13a47a41-adfd-593b-8f86-279651edc8c4_7e04560f-3d56-57a7-9a92-04237f3014c9;NPK (26-15-15) fertiliser production;RoW;NPK (26-15-15) fertiliser
df4ca08e-9a46-504a-b56b-6c9ba41232fc_7e04560f-3d56-57a7-9a92-04237f3014c9;NPK (26-15-15) fertiliser production;RER;NPK (26-15-15) fertiliser
10d14ef3-167b-547e-bca0-ba492cd00066_7e04560f-3d56-57a7-9a92-04237f3014c9;NPK (26-15-15) fertiliser production;RNA;NPK (26-15-15) fertiliser
8f724c42-836c-54b8-aa80-172b3d21e6c7_4c2b1cc3-84e5-4e35-b74e-8815eadbc674;[sulfonyl]urea-compound production;RoW;[sulfonyl]urea-compound
41d25f22-1327-588b-a002-2e8a429c00e9_4c2b1cc3-84e5-4e35-b74e-8815eadbc674;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound
f4332ed7-278e-536c-9634-e91a7caf46e5_1be4f7e4-5244-4f9d-b80d-7fbf1e337e2b;[thio]carbamate-compound production;RoW;[thio]carbamate-compound
f9b23dfe-ba84-5b7c-b5bc-c5b6f3768c72_1be4f7e4-5244-4f9d-b80d-7fbf1e337e2b;[thio]carbamate-compound production;RER;[thio]carbamate-compound
83f8231f-0aa2-51c1-8f94-423433642ca3_8a8418c4-a67f-48de-a2bd-5045bb89e3df;abrasive blasting, alumina, carbon steel substrate;GLO;abrasive blasting, alumina, carbon steel substrate
bc37b2c3-623c-5095-9025-868a61af8713_85c1094f-fe6e-4869-9759-47fa520b3354;absorption chiller production, 100kW;CH;absorption chiller, 100kW
499dba65-ddeb-5ead-a2e3-16fbab5cdb3e_85c1094f-fe6e-4869-9759-47fa520b3354;absorption chiller production, 100kW;RoW;absorption chiller, 100kW
1dafc6b0-aa52-5e31-98c0-c57c5662284e_86e7640d-9427-47f7-b801-03f9df666a18;acetaldehyde production, ethylene oxidation;RoW;acetaldehyde
fdf3e515-9eaf-53e1-818c-c779becbd206_86e7640d-9427-47f7-b801-03f9df666a18;acetaldehyde production, ethylene oxidation;RER;acetaldehyde
59efa5ba-71ad-5aca-a0b8-7ee0813e5208_2487d46f-ca68-45fe-9baf-c8546908cef2;acetamide-anillide-compound production, unspecified;RoW;acetamide-anillide-compound, unspecified
08ce1b10-739e-56c6-8971-3da9d8fc58f6_2487d46f-ca68-45fe-9baf-c8546908cef2;acetamide-anillide-compound production, unspecified;RER;acetamide-anillide-compound, unspecified
4e060c7b-55bf-541e-8aed-f4cfdcdec2e6_98c3d189-a2b3-4d52-b833-e896553847e9;acetanilide production;RoW;acetanilide
e7a6a027-9b50-59ee-b51f-bfe46670984b_98c3d189-a2b3-4d52-b833-e896553847e9;acetanilide production;RER;acetanilide
42ef687a-8f78-56ac-aaea-acedc2991cb3_e36aa595-9fc6-4eff-8f34-a9b11f460762;acetic acid production, butane oxidation;RoW;acetic acid, without water, in 98% solution state
42ef687a-8f78-56ac-aaea-acedc2991cb3_15e08bcb-75e0-4f45-ab47-d6ddff721ebc;acetic acid production, butane oxidation;RoW;acetone, liquid
42ef687a-8f78-56ac-aaea-acedc2991cb3_1a71f77c-edaa-4365-a192-f54ac538d033;acetic acid production, butane oxidation;RoW;ethyl acetate
42ef687a-8f78-56ac-aaea-acedc2991cb3_118a9202-6b68-44aa-82b5-2c2bf5bc02cf;acetic acid production, butane oxidation;RoW;formic acid
42ef687a-8f78-56ac-aaea-acedc2991cb3_bd9f3f8b-c561-4604-b683-4e53f704bd02;acetic acid production, butane oxidation;RoW;methyl acetate
42ef687a-8f78-56ac-aaea-acedc2991cb3_86e1bf02-e86a-479b-9051-710271dbd745;acetic acid production, butane oxidation;RoW;methyl ethyl ketone
039219d0-9522-5c4b-a88d-31b59fa13bec_e36aa595-9fc6-4eff-8f34-a9b11f460762;acetic acid production, butane oxidation;RER;acetic acid, without water, in 98% solution state
039219d0-9522-5c4b-a88d-31b59fa13bec_15e08bcb-75e0-4f45-ab47-d6ddff721ebc;acetic acid production, butane oxidation;RER;acetone, liquid
039219d0-9522-5c4b-a88d-31b59fa13bec_1a71f77c-edaa-4365-a192-f54ac538d033;acetic acid production, butane oxidation;RER;ethyl acetate
039219d0-9522-5c4b-a88d-31b59fa13bec_118a9202-6b68-44aa-82b5-2c2bf5bc02cf;acetic acid production, butane oxidation;RER;formic acid
039219d0-9522-5c4b-a88d-31b59fa13bec_bd9f3f8b-c561-4604-b683-4e53f704bd02;acetic acid production, butane oxidation;RER;methyl acetate
039219d0-9522-5c4b-a88d-31b59fa13bec_86e1bf02-e86a-479b-9051-710271dbd745;acetic acid production, butane oxidation;RER;methyl ethyl ketone
fe454a13-c410-5d55-8209-f7ad1eab4cdd_e36aa595-9fc6-4eff-8f34-a9b11f460762;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RoW;acetic acid, without water, in 98% solution state
fe454a13-c410-5d55-8209-f7ad1eab4cdd_93325850-98a2-49a1-be7c-1ccf715f38ce;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RoW;propionic acid
c5568804-105e-5d79-8b1d-17851d4a77d1_e36aa595-9fc6-4eff-8f34-a9b11f460762;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RER;acetic acid, without water, in 98% solution state
c5568804-105e-5d79-8b1d-17851d4a77d1_93325850-98a2-49a1-be7c-1ccf715f38ce;acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state;RER;propionic acid
3bc76187-9698-549c-a20f-0661dd42bca7_e36aa595-9fc6-4eff-8f34-a9b11f460762;acetic anhydride production, acetaldehyde oxidation;RoW;acetic acid, without water, in 98% solution state
3bc76187-9698-549c-a20f-0661dd42bca7_50a418df-9ef8-4a99-8bea-4f9b4ea88acb;acetic anhydride production, acetaldehyde oxidation;RoW;acetic anhydride
85fd0ee5-ea9a-5e6a-9b69-bf22573ee3c8_e36aa595-9fc6-4eff-8f34-a9b11f460762;acetic anhydride production, acetaldehyde oxidation;RER;acetic acid, without water, in 98% solution state
85fd0ee5-ea9a-5e6a-9b69-bf22573ee3c8_50a418df-9ef8-4a99-8bea-4f9b4ea88acb;acetic anhydride production, acetaldehyde oxidation;RER;acetic anhydride
db3626d3-b54d-5d8a-84a7-ad8f1f999188_50a418df-9ef8-4a99-8bea-4f9b4ea88acb;acetic anhydride production, acetic acid pyrolysis, via ketene intermediate;RoW;acetic anhydride
84fb2eba-74f3-54ad-bb57-3116a0e3e130_50a418df-9ef8-4a99-8bea-4f9b4ea88acb;acetic anhydride production, acetic acid pyrolysis, via ketene intermediate;RER;acetic anhydride
6c6bdefb-217e-5e24-9ff9-5319f0b6d47e_dbbb2b50-295a-486a-af82-9da5b08df6b5;acetoacetic acid production;RoW;acetoacetic acid
c0676a56-33f1-5247-91fc-b81290ee90c7_dbbb2b50-295a-486a-af82-9da5b08df6b5;acetoacetic acid production;RER;acetoacetic acid
9399d135-d980-5e00-9d77-5225eaba4b15_3b363d31-87f8-483f-9676-ab3221789dca;acetone cyanohydrin production;RoW;acetone cyanohydrin
c4f1ccbe-8f9e-5285-8ca1-e6f870ffe3f3_3b363d31-87f8-483f-9676-ab3221789dca;acetone cyanohydrin production;RER;acetone cyanohydrin
c3a88144-0929-5b82-ab7b-b3c794be1c59_15e08bcb-75e0-4f45-ab47-d6ddff721ebc;acetone production, from isopropanol;RoW;acetone, liquid
a36170b1-72b7-59ff-a904-c8dbafe7a42f_15e08bcb-75e0-4f45-ab47-d6ddff721ebc;acetone production, from isopropanol;RER;acetone, liquid
7d40b4dc-ca46-578a-aec9-814b3f30be47_c52e25ea-33ba-4df1-8f49-e5f6a7f7c7a7;acetonitrile to generic market for solvent for chromatography analysis;GLO;solvent for chromatography analysis
75e6229d-fd74-5831-adb3-3135aefece4b_b38b6557-fb95-4f02-820c-2902c294998e;acetyl chloride production;RoW;acetyl chloride
f7a09ea7-dbdc-5147-a117-733e2fcd855a_b38b6557-fb95-4f02-820c-2902c294998e;acetyl chloride production;RER;acetyl chloride
3a184f67-fc97-59b7-8cb0-a06d8cb9db56_ac271101-169f-43d6-913e-624d1a1b6683;acetylene production;RoW;acetylene
