clustered,ecoinvent_prod,manual_match_certainty,hard no
2nd hand machine,"metal working machine, unspecified",no,
2nd hand machine,"industrial machine, heavy, unspecified",no,
2nd hand machine,building machine,no,
2nd hand machine,"machine, for treatment of waste electric and electronic equipment",no,
330ml pepsi drinks,coke,no,
330ml pepsi drinks,petroleum coke,no,
330ml pepsi drinks,used beverage cans,no,
330ml pepsi drinks,"hydrogen, liquid",no,
330ml pepsi drinks,dimethyl carbonate,no,
3d laser scanners,"used printer, laser",no,
3d laser scanners,"printer, laser, colour",no,
3d laser scanners,"printer, laser, black/white",no,
3d printers,"used printer, laser",no,
3d printers,"printer, laser, colour",no,
3d printers,printed paper,no,
3d printers,paper machine,no,
3d printers,"printer, laser, black/white",no,
3d printing,printed paper,no,
3d printing,paper machine,no,
3d printing,"used printer, laser",no,
3d printing,"paper, newsprint",no,
3d printing,"printer, laser, colour",no,
3d scanner,"used printer, laser",no,
4-corner blade,"used trawler, steel",no,
4-corner blade,"trawler, steel",no,
4-corner blade,"mowing, by rotary mower",no,
4-corner blade,potato haulm cutting,no,
4wd vehicles,"tractor, 4-wheel, agricultural",no,
4wd vehicles,road vehicle factory,no,
4wd vehicles,used light commercial vehicle,no,
4wd vehicles,light commercial vehicle,no,
4wd vehicles,"electric motor, vehicle",no,
6-passenger taxis,"transport, passenger car",high,
6-passenger taxis,"transport, passenger, electric scooter",no,
6-passenger taxis,"transport, passenger, motor scooter",no,
6-passenger taxis,"train, passenger, regional",no,
6-passenger taxis,"transport, passenger train",no,
abrasive belts,conveyor belt,no,
abrasive belts,"bleaching, textile",no,
abrasive belts,"aluminium removed by milling, dressing",no,
abrasive belts,"aluminium removed by turning, primarily dressing, conventional",no,
abrasive belts,"contouring, bronze",no,
abrasive discs,"deinked pulp, wet lap",no,
abrasive discs,"sulfate pulp, bleached",no,
abrasive discs,"sulfite pulp, bleached",no,
abrasive discs,"anodising, aluminium sheet",no,
abrasive discs,"aluminium removed by turning, primarily dressing, computer numerical controlled",no,
abrasive flap wheels,solid bleached and unbleached board carton,no,
abrasive flap wheels,"waste, pneumatic tyres",no,
abrasive flap wheels,"waste rubber, unspecified",no,
abrasive flap wheels,synthetic rubber,no,
abrasive fleece,"fleece, polyethylene",medium,
abrasive fleece,horticultural fleece,no,
abrasive fleece,sheep fleece in the grease,no,
abrasive fleece,wood wool,no,
abrasive fleece,stone wool,no,
abrasive media,"bleaching, textile",no,
abrasive media,"refractory material, acid",no,
abrasive media,sanitary ceramics,no,
abrasive media,"limestone, crushed, washed",no,
abrasive media,waste glass,no,
abrasive paste,"metallization paste, back side",no,
abrasive paste,"metallization paste, back side, aluminium",no,
abrasive paste,"bleaching, textile",no,
abrasive paste,"metallization paste, front side",no,
abrasive paste,"sulfate pulp, bleached",no,
abrasive tapes,vinyl carbonate,no,
abrasive tapes,paper sack,no,
abrasive tapes,"waste paper, unsorted",no,
abrasive tapes,waste glass sheet,no,
abrasive tapes,"graphic paper, 100% recycled",no,
abrasive wheels,waste asphalt,no,
abrasive wheels,"bleaching, textile",no,
abrasive wheels,"waste, pneumatic tyres",no,
abrasive wheels,waste bitumen,no,
abrasive wheels,solid bleached and unbleached board carton,no,
abrasives,"bleaching, textile",no,
abrasives,"sulfite pulp, bleached",no,
abrasives,bauxite,no,
abrasives,"aluminium removed by milling, dressing",no,
abrasives,enamelling,no,
abrasives for ceramics,sanitary ceramics,no,
abrasives for ceramics,wastewater from ceramic production,no,
abrasives for ceramics,ceramic tile,no,
abrasives for ceramics,ceramic factory,no,
abrasives for ceramics,clay plaster,no,
abrasives for deburring,"bleaching, textile",no,
abrasives for deburring,ash from deinking sludge,no,
abrasives for floors,"bleaching, textile",no,
abrasives for floors,anhydrite floor,no,
abrasives for floors,"residual hardwood, wet",no,
abrasives for floors,"sawnwood, beam, hardwood, dried (u=10%), planed",no,
abrasives for floors,"sawnwood, beam, hardwood, dried (u=20%), planed",no,
abrasives for metal,scrap aluminium,no,
abrasives for metal,waste paint on metal,no,
abrasives for metal,"aluminium removed by milling, dressing",no,
abrasives for metal,waste aluminium,no,
abrasives for metal,"adhesive, for metal",no,
abrasives for wood,"wood cladding, softwood",no,
abrasives for wood,"waste wood, untreated",no,
abrasives for wood,waste paint on wood,no,
abrasives for wood,wood wool,no,
abrasives for wood,"sawnwood, beam, hardwood, dried (u=20%), planed",no,
abrasives in grains,wheat grain,no,
abrasives in grains,barley grain,no,
abrasives in grains,"aluminium removed by milling, dressing",no,
abrasives in grains,Distiller's Dried Grains with Solubles,no,
abrasives in grains,oat grain,no,
absinthe aperitif drink,ethylamine,no,
absinthe aperitif drink,green liquor dregs,no,
absinthe aperitif drink,soybean beverage,no,
absinthe aperitif drink,ethoxylated alcohol (AE>20),no,
absinthe aperitif drink,"water, ultrapure",no,
ac/dc converter,"converter, for electric passenger car",no,
ac/dc converter,electric arc furnace converter,no,
ac/dc converter,"inverter, for electric passenger car",no,
ac/dc converter,"power adapter, for laptop",no,
ac/dc converter,"inverter, 500kW",no,
acacia decking,"wood cladding, softwood",medium,
acacia decking,woven bamboo mat,no,
acacia decking,wood wool,no,
acacia decking,cross-laminated timber,no,
acacia decking,"wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact",no,
acacia honey,"molasses, from sugar beet",no,
acacia honey,almond,no,
acacia honey,"sugar, from sugar beet",no,
acacia honey,sweet sorghum grain,no,
acacia honey,sesame seed,no,
accumulators for stationary traction applications,"powertrain, for electric scooter",no,
"accumulators, maintenance-free","manual treatment facility, waste electric and electronic equipment",no,
"accumulators, maintenance-free","maintenance, refrigeration machine",no,
"accumulators, maintenance-free","mechanical treatment facility, waste electric and electronic equipment",no,
"accumulators, maintenance-free","dust collector, electrostatic precipitator, for domestic use",no,
"accumulators, maintenance-free","machine, for treatment of waste electric and electronic equipment",no,
aceite iberico,acetoacetic acid,no,
aceite iberico,cobalt acetate,no,
aceite iberico,acetanilide,no,
aceite iberico,acetylene,no,
aceite iberico,acetonitrile,no,
acerola extracts,acetoacetic acid,no,
acerola extracts,acetaldehyde,no,
acerola extracts,"acetamide-anillide-compound, unspecified",no,
acerola extracts,acetic anhydride,no,
acerola extracts,ethyl acetate,no,
acesulfame,acetanilide,no,
acesulfame,amidosulfuron,no,
acesulfame,sulfur,no,
acesulfame,sodium silver thiosulfate,no,
acesulfame,sulfite,no,
acetate film,vinyl acetate,no,
acetate film,ethyl acetate,no,
acetate film,methyl acetate,no,
acetate film,isopropyl acetate,no,
acetate film,cobalt acetate,no,
acial piston motors,"electric motor, vehicle",no,
acial piston motors,"electric motor, for electric scooter",no,
acial piston motors,"electric motor, electric passenger car",no,
acial piston motors,"permanent magnet, for electric motor",no,
acial piston motors,"gas motor, 206kW",no,
acid containers,"liquid storage tank, chemicals, organics",medium,
acid containers,liquid packaging board container,no,
acid containers,"refractory material, acid",no,
acid containers,"container, for collection of post-consumer waste plastic for recycling",no,
acid containers,sulfuric acid,no,
acid oil,fatty acid,medium,
acid oil,"coconut oil, crude",no,
acid oil,sulfuric acid,no,
acid oil,"vegetable oil, refined",no,
acid oil,base oil,no,
acid pump,pump station,no,
acid pump,"water pump operation, electric",no,
acid pump,propionic acid,no,
acid pump,"pump, 40W",no,
acid pump,sulfuric acid,no,
acid-proof clothing,"bleaching, textile",no,
acid-proof clothing,"refractory material, acid",no,
acid-proof clothing,acrylic acid,no,
acid-proof clothing,"textile, silk",no,
acid-proof clothing,"sanforizing, textile",no,
acid-resistant cast steel,"aluminium, cast alloy",no,
acid-resistant cast steel,cast iron,no,
acid-resistant cast steel,"casting, steel, lost-wax",no,
acid-resistant cast steel,"steel, low-alloyed",medium,
acid-resistant cast steel,scrap steel,no,
acid-resistant floor-coverings,"refractory material, acid",no,
acid-resistant floors,"refractory material, acid",no,
acid-resistant floors,benzoic acid,no,
acid-resistant floors,sulfuric acid,no,
acid-resistant floors,methacrylic acid,no,
acid-resistant floors,propionic acid,no,
acid-resistant steel flanges,"used room-connecting overflow element steel, approx. 40 m3/h",no,
acid-resistant steel flanges,chromium steel pipe,no,
acid-resistant steel flanges,waste reinforcement steel,no,
acid-resistant steels,scrap steel,no,
acid-resistant steels,"steel, low-alloyed",medium,
acid-resistant steels,reinforcing steel,medium,
acid-resistant steels,"steel, chromium steel 18/8",medium,
acid-resistant steels,"powder coat, steel",no,
acidproof cladding materials for industrial sites,"cladding, crossbar-pole, aluminium",no,
acidproof cladding materials for industrial sites,"refractory material, acid",no,
acidproof cladding materials for industrial sites,"wood cladding, softwood",no,
acidproof cladding materials for industrial sites,metal coating facility,no,
acidproof cladding materials for industrial sites,"wood preservation facility, flow coating equipment",no,
acids,fatty acid,medium,
acids,sulfuric acid,medium,
acids,propionic acid,medium,
acids,chloroacetic acid,medium,
acids,methacrylic acid,medium,
acoustic ceiling tiles,roof tile,no,
acoustic ceiling tiles,ceramic tile,no,
acoustic ceiling tiles,concrete roof tile,no,
acoustic ceiling tiles,cement tile,no,
acoustic insulation - materials,"sound insulation, heat and power co-generation unit, 160kW electrical",no,
acoustic insulation - materials,"tube insulation, elastomere",no,
acoustic insulation - materials,"insulation spiral-seam duct, rockwool, DN 400, 30 mm",medium,
acoustic insulation - materials,"used insulation spiral-seam duct rockwool, DN 400",medium,
acoustic insulation - materials,polystyrene foam slab for perimeter insulation,no,
acoustic insulation wood windows,"sound insulation, heat and power co-generation unit, 160kW electrical",no,
acoustic insulation wood windows,"door, outer, wood-glass",no,
acoustic insulation wood windows,"door, inner, glass-wood",no,
acoustic insulation wood windows,"used window frame, wood",medium,
acoustic insulation wood windows,"wood preservation facility, oscillating pressure method",no,
acoustic isolation,"electronic component, passive, mobile, earpiece and speaker",no,
acoustic isolation,"sound insulation, heat and power co-generation unit, 160kW electrical",no,
acoustic panels,"sound insulation, heat and power co-generation unit, 160kW electrical",no,
acoustic panels,"electronic component, passive, mobile, earpiece and speaker",no,
acrylic adhesives,"adhesive, for metal",no,
acrylic adhesives,acrylic acid,no,
acrylic adhesives,acrylic filler,no,
acrylic adhesives,methyl acrylate,no,
acrylic adhesives,polyurethane adhesive,no,
acrylic display,acrylic acid,no,
acrylic display,acrylic filler,no,
acrylic display,used liquid crystal display,no,
acrylic display,methyl acrylate,no,
acrylic display,butyl acrylate,no,
acrylic for nails,acrylic acid,no,
acrylic for nails,methyl acrylate,no,
acrylic for nails,acrylonitrile,no,
acrylic for nails,butyl acrylate,no,
acrylic for nails,acrylic filler,no,
acrylic glass,acrylic acid,no,
acrylic glass,methyl acrylate,no,
acrylic glass,acrylic filler,no,
acrylic glass,foam glass,no,
acrylic glass,"flat glass, uncoated",no,
acrylic prosthetics,acrylic filler,no,
acrylic prosthetics,acrylic acid,no,
acrylic prosthetics,butyl acrylate,no,
acrylic prosthetics,methyl acrylate,no,
acrylic prosthetics,acrylonitrile,no,
acrylic resins,anionic resin,no,
acrylic resins,cationic resin,no,
acrylic resins,acrylic filler,no,
acrylic resins,phenolic resin,no,
acrylic resins,methyl acrylate,no,
acrylic sheets,acrylic filler,no,
acrylic sheets,acrylic acid,no,
acrylic sheets,methyl acrylate,no,
acrylic sheets,butyl acrylate,no,
acrylic sheets,"laminating service, foil, with acrylic binder",no,
acrylic teeth,acrylic acid,no,
acrylic teeth,methyl acrylate,no,
acrylic teeth,butyl acrylate,no,
acrylic teeth,acrylic filler,no,
acrylic teeth,acrylonitrile,no,
action cameras,"operation, computer, laptop, videoconference",no,
activated carbon,"activated carbon, granular",high,
activated carbon,"spent activated carbon, granular",medium,
activated carbon,spent activated carbon with mercury,no,
activated carbon,carbon black,no,
activated carbon,carbon monoxide,no,
activated carbon filter,"activated carbon, granular",no,
activated carbon filter,spent activated carbon with mercury,no,
activated carbon filter,"spent activated carbon, granular",no,
activated carbon filter,"air filter, in exhaust air valve",no,
activated carbon filter,carbon black,no,
"activated carbon filters, regenerative",spent activated carbon with mercury,no,
"activated carbon filters, regenerative","activated carbon, granular",no,
"activated carbon filters, regenerative","spent activated carbon, granular",no,
"activated carbon filters, regenerative","used air filter central unit, 600 m3/h",no,
"activated carbon filters, regenerative","used air filter decentralized unit, 250 m3/h",no,
activated carbon reactivation,"activated carbon, granular",medium,
activated carbon reactivation,spent activated carbon with mercury,no,
activated carbon reactivation,"spent activated carbon, granular",high,
activated carbon reactivation,carbon tetrachloride,no,
activated carbon reactivation,carbon monoxide,no,
activated carbons for sludge filtering plants,"spent activated carbon, granular",medium,
activated carbons for sludge filtering plants,"activated carbon, granular",high,
activated carbons for sludge filtering plants,basic oxygen furnace sludge,no,
activated carbons for sludge filtering plants,"basic oxygen furnace sludge, for recovery",no,
activated carbons for sludge filtering plants,spent activated carbon with mercury,no,
active carbon filter,"activated carbon, granular",medium,
active carbon filter,spent activated carbon with mercury,no,
active carbon filter,"air filter, in exhaust air valve",no,
active carbon filter,"spent activated carbon, granular",no,
active carbon filter,used air filter in exhaust air valve,no,
actuator,"used glider, electric scooter",no,
actuator,"controller, for electric scooter",no,
actuator,used motor scooter,no,
actuator,"elevator, hydraulic",no,
actuator,"glider, for electric scooter",no,
actuator connectors,"electric connector, peripheral type buss",no,
actuator connectors,"electric connector, peripheral component interconnect buss",no,
actuator connectors,"electric connector, wire clamp",no,
actuator connectors,"cable, ribbon cable, 20-pin, with plugs",no,
actuator connectors,"plug, inlet and outlet, for computer cable",no,
actuator-sensor cables,"cable, three-conductor cable",medium,
actuator-sensor cables,"cable, unspecified",medium,
actuator-sensor cables,"cable, ribbon cable, 20-pin, with plugs",no,
"actuators, electromagnetic","electric motor, for electric scooter",no,
"actuators, electromagnetic","electronics, for control units",no,
"actuators, electromagnetic","electric motor, vehicle",no,
"actuators, electromagnetic","electronic component, passive, unspecified",no,
"actuators, electromagnetic","electronic component, passive, mobile, earpiece and speaker",no,
acyclic compounds,cyclic N-compound,no,
acyclic compounds,cyanuric chloride,no,
acyclic compounds,acetyl chloride,no,
acyclic compounds,thionyl chloride,no,
acyclic compounds,acrylonitrile,no,
adapters,"power adapter, for laptop",medium,
adapters,"power adapter, for smartphone",medium,
adapters,"electric connector, peripheral type buss",no,
adapters,"electric connector, peripheral component interconnect buss",no,
additive,"electrolyte, KOH, LiOH additive",medium,
additive,ethylenediamine,medium,
additive,"chemical, inorganic",medium,
additive,"gypsum, mineral",medium,
additive,polyol,medium,
additives for dressed pork products,"grass silage, organic",no,
additives for dressed pork products,pig iron,no,
additives for dressed pork products,"residues, MSWI-WWT, WW from pig iron production",no,
additives for dressed pork products,"poultry manure, dried",no,
additives for engines,diesel,no,
additives for engines,"petrol, 15% ETBE additive by volume, with ethanol from biomass",medium,
additives for engines,"petrol, 4% ETBE additive by volume, with ethanol from biomass",medium,
additives for engines,"petrol, two-stroke blend",medium,
additives for engines,spent automobile catalyst,no,
additives for meat,"mineral supplement, for beef cattle",no,
additives for meat,meat and bone meal,medium,
additives for meat,"protein feed, 100% crude",no,
additives for meat,"red meat, live weight",no,
additives for meat,"poultry manure, dried",no,
additives for plastic materials,"waste plastic, mixture",no,
additives for plastic materials,"plasticiser, for concrete, based on sulfonated melamine formaldehyde",no,
additives for plastic materials,waste wire plastic,no,
additives for plastic materials,"waste plastic, industrial electronics",no,
additives for plastic materials,plastic processing factory,no,
additives for polyurethane,waste polyurethane,no,
additives for polyurethane,polyurethane adhesive,no,
additives for polyurethane,waste polyurethane seal,no,
additives for polyurethane,waste polyurethane foam,no,
additives for polyurethane,"polyurethane, flexible foam, flame retardant",no,
additives for precooked products,"protein feed, 100% crude",no,
additives for precooked products,"wood preservative, organic salt, Cr-free",no,
additives for precooked products,"wood preservative, organic, indoor use, dry",no,
additives for precooked products,"petrol, 15% ETBE additive by volume, with ethanol from biomass",no,
additives for precooked products,"petrol, 4% ETBE additive by volume, with ethanol from biomass",no,
additives for water treatment,"wastewater, unpolluted",no,
additives for water treatment,"residue from rutile production, synthetic, 56% water",no,
additives for water treatment,"water, ultrapure",no,
additives for water treatment,"cleaning consumables, without water, in 13.6% solution state",no,
additives for water treatment,"waste cement, hydrated",no,
"additives, colourings","toner, colour, powder",medium,
"additives, colourings","continuous dyeing, fibre, cotton",no,
"additives, colourings","selective coat, copper sheet, black majic",no,
"additives, colourings","batch dyeing, fibre, cotton",no,
"additives, colourings",supplementary cementitious materials,no,
"additives, pigments","selective coat, aluminium sheet, nickel pigmented aluminium oxide",medium,
"additives, pigments",cyanogen chloride,no,
"additives, pigments",solvent for paint,no,
"additives, pigments","toner, colour, powder",medium,
"additives, pigments",cyanoacetic acid,no,
adhesion promoters,"adhesive, for metal",no,
adhesion promoters,adhesive mortar,no,
adhesive,"adhesive, for metal",medium,
adhesive,adhesive mortar,medium,
adhesive,polyurethane adhesive,medium,
adhesive,"bitumen adhesive compound, hot",medium,
adhesive,melamine urea formaldehyde adhesive,medium,
adhesive assembly tape,"adhesive, for metal",no,
adhesive assembly tape,polyurethane adhesive,no,
adhesive assembly tape,adhesive mortar,no,
adhesive assembly tape,"sealing tape, aluminium/PE, 50 mm wide",medium,
adhesive assembly tape,"used sealing tape aluminium/PE, 50 mm wide",medium,
adhesive bands,"adhesive, for metal",no,
adhesive bands,polyurethane adhesive,no,
adhesive bands,adhesive mortar,no,
adhesive bands,melamine urea formaldehyde adhesive,no,
adhesive bands,"bitumen adhesive compound, hot",no,
adhesive bumpers,"adhesive, for metal",no,
adhesive bumpers,adhesive mortar,no,
adhesive bumpers,polyurethane adhesive,no,
adhesive dots,"adhesive, for metal",no,
adhesive dots,adhesive mortar,no,
adhesive dots,polyurethane adhesive,no,
adhesive dots,"bitumen adhesive compound, hot",no,
adhesive dots,"bitumen adhesive compound, cold",no,
adhesive flap,"adhesive, for metal",no,
adhesive flap,polyurethane adhesive,no,
adhesive flap,adhesive mortar,no,
adhesive friezes,"adhesive, for metal",no,
adhesive friezes,polyurethane adhesive,no,
adhesive friezes,adhesive mortar,no,
adhesive friezes,melamine urea formaldehyde adhesive,no,
adhesive friezes,"fibreboard, soft, without adhesives",no,
adhesive glues for construction work,"adhesive, for metal",medium,
adhesive glues for construction work,adhesive mortar,medium,
adhesive glues for construction work,polyurethane adhesive,medium,
adhesive glues for construction work,melamine urea formaldehyde adhesive,medium,
adhesive glues for construction work,"glued laminated timber, PUR-glue",medium,
adhesive masking tapes,"sealing tape, aluminium/PE, 50 mm wide",no,
adhesive masking tapes,"used sealing tape aluminium/PE, 50 mm wide",no,
adhesive masking tapes,"adhesive, for metal",no,
adhesive masking tapes,polyurethane adhesive,no,
adhesive paper,printed paper,no,
adhesive paper,"adhesive, for metal",no,
adhesive paper,tissue paper,no,
adhesive paper,adhesive mortar,no,
adhesive paper,"paper, newsprint",no,
adhesive price label,"adhesive, for metal",no,
adhesive price label,polyurethane adhesive,no,
adhesive steel foils,"adhesive, for metal",no,
adhesive steel foils,"ethylvinylacetate, foil",no,
adhesive steel foils,metal coating facility,no,
adhesive steel foils,"laminating service, foil, with acrylic binder",no,
adhesive steel foils,reinforcing steel,no,
adhesive strip rolls,"sheet rolling, aluminium",no,
adhesive strip rolls,"adhesive, for metal",no,
adhesive strip rolls,"sheet rolling, copper",no,
adhesive strip rolls,"sheet rolling, chromium steel",no,
adhesive strip rolls,"sheet rolling, steel",no,
adhesive tape,"adhesive, for metal",no,
adhesive tape,adhesive mortar,no,
adhesive tape,polyurethane adhesive,no,
adhesive tape,"sealing tape, aluminium/PE, 50 mm wide",no,
adhesive tape,"used sealing tape aluminium/PE, 50 mm wide",no,
adhesive tape dispenser,"adhesive, for metal",no,
adhesive tape dispenser,polyurethane adhesive,no,
adhesive tape dispenser,adhesive mortar,no,
adhesive tape dispenser,"used sealing tape aluminium/PE, 50 mm wide",no,
adhesive tape dispenser,"sealing tape, aluminium/PE, 50 mm wide",no,
"adhesive tapes, heat-resistant","adhesive, for metal",no,
"adhesive tapes, heat-resistant","sealing tape, aluminium/PE, 50 mm wide",no,
"adhesive tapes, heat-resistant","used sealing tape aluminium/PE, 50 mm wide",no,
"adhesive tapes, heat-resistant","bitumen adhesive compound, hot",no,
"adhesive tapes, heat-resistant","fibreboard, soft, without adhesives",no,
adhesives for boating,"adhesive, for metal",medium,
adhesives for boating,polyurethane adhesive,medium,
adhesives for boating,"fibreboard, soft, without adhesives",no,
adhesives for boating,adhesive mortar,no,
adhesives for boating,melamine urea formaldehyde adhesive,no,
adhesives for metals,"adhesive, for metal",high,
adhesives for metals,polyurethane adhesive,no,
adhesives for metals,"metallization paste, front side",no,
adhesives for metals,adhesive mortar,no,
adhesives for metals,"metallization paste, back side",no,
adhesives for shoes,"adhesive, for metal",no,
adhesives for shoes,polyurethane adhesive,high,
adhesives for shoes,melamine urea formaldehyde adhesive,no,
adhesives for shoes,adhesive mortar,no,
adhesives for shoes,"fibreboard, soft, without adhesives",no,
adjustable speed control motors,"electric motor, for electric scooter",no,
adjustable speed control motors,"controller, for electric scooter",no,
adjustable valves for gas welding machines,"welding, gas, steel",no,
adjustable valves for gas welding machines,gas boiler,no,
adjustable valves for gas welding machines,"pipeline, natural gas, low pressure distribution network",no,
adjustable valves for gas welding machines,"pipeline, natural gas, high pressure distribution network",no,
adjustable valves for gas welding machines,"welding, arc, steel",no,
adjuvants for drinks,fatty alcohol sulfate,no,
advanced controller,"controller, for electric scooter",no,
advanced controller,"electronics, for control units",no,
advent calendar,"calendering, rigid sheets",no,
advent calendar,"thermoforming, with calendering",no,
advertising cans,used beverage cans,no,
aeration,"wastewater, unpolluted",no,
aeration,autoclaved aerated concrete block,no,
aeration,"water, decarbonised",no,
aeration,"water, deionised",no,
aeration,ethoxylated alcohol (AE7),no,
aerial cables,"cable, unspecified",medium,
aerial cables,"maintenance, transmission network, electricity, high voltage direct current aerial line",no,
aerial cables,"transmission network, electricity, high voltage direct current aerial line",no,
aerial cables,cable yarding,no,
aerial cables,"cable, three-conductor cable",medium,
"aerials, radio","maintenance, transmission network, electricity, high voltage direct current aerial line",no,
"aerials, radio","transport, helicopter",no,
"aerials, radio","transmission network, electricity, high voltage direct current aerial line",no,
"aerials, radio",helicopter,no,
"aerials, radio","receiver system, solar tower power plant, 20 MW",no,
aerogel,foaming agent,no,
aerogel,polyacrylamide,no,
aerogel,acrylonitrile,no,
aerogel,butyl acrylate,no,
aerogel,trimethylamine,no,
aerogenerators,ventilation components factory,no,
aerogenerators,"swath, by rotary windrower",no,
aerogenerators,"dust collector, electrostatic precipitator, for domestic use",no,
aerogenerators,"dust collector, electrostatic precipitator, for industrial use",no,
aerogenerators,"dust collector, multicyclone",no,
aeronautical load banks,"aircraft, belly freight, long haul",no,
aeronautical load banks,"aircraft, dedicated freight, long haul",no,
aeronautical raw metallic materials,"aluminium, in mixed metal scrap",medium,
aeronautical raw metallic materials,"aluminium, wrought alloy",medium,
aeronautical raw metallic materials,copper-rich materials,medium,
aeronautical raw metallic materials,scrap aluminium,medium,
aeronautical raw metallic materials,"aluminium, cast alloy",medium,
aeroplanes,"aircraft, passenger, long haul",high,
aeroplanes,"aircraft, passenger, very short haul",high,
aeroplanes,"transport, passenger aircraft, unspecified",no,
aeroplanes,"aircraft, passenger, medium haul",high,
aeroplanes,"aircraft, passenger, short haul",high,
aerosol,"ozone, liquid",no,
aerosol,blast furnace dust,no,
aerosol,basic oxygen furnace dust,no,
aerosol,coating powder,no,
aerosol,"sulfur dioxide, liquid",no,
aerosol cans,used beverage cans,no,
aerosol cans,"ozone, liquid",no,
aerosol cans,"soda ash, light",no,
aerosol cans,"dust collector, electrostatic precipitator, for domestic use",no,
aerosol cans,"soda ash, dense",no,
aerosol valves,"air filter, in exhaust air valve",no,
aerosol valves,used air filter in exhaust air valve,no,
aerosol valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,
aerosol valves,"venting of argon, crude, liquid",no,
aerosol valves,"used exhaust air valve in-wall housing, plastic/steel",no,
aerospace raw metallic materials,"aluminium, in mixed metal scrap",medium,
aerospace raw metallic materials,"aluminium, wrought alloy",medium,
aerospace raw metallic materials,"aluminium, cast alloy",medium,
aerospace raw metallic materials,"aluminium scrap, post-consumer, prepared for melting",medium,
aerospace raw metallic materials,scrap aluminium,medium,
agar agar powder,"sodium aluminate, powder",no,
agar agar powder,coating powder,no,
agar agar powder,"aluminium sulfate, powder",no,
agar agar powder,"sodium silicate, spray powder, 80%",no,
agar agar powder,sodium silver thiosulfate,no,
agave syrup,"sugar, from sugarcane",no,
agave syrup,"sugar, from sugar beet",no,
agave syrup,sugarcane,no,
