Unnamed: 0,clustered,ecoinvent_prod,manual_match_certainty,manual_certainty,hard no
41,18 ct gold jewellery,"gold, unrefined",no,no,
42,18 ct gold jewellery,precious metal refinery,no,no,
43,18 ct gold jewellery,gold,no,no,
44,18 ct gold jewellery,"gold-silver, ingot",no,no,
45,18 ct gold jewellery,platinum,no,no,
46,18mm plywood,plywood,high,yes,
47,18mm plywood,"residues, MSWI-WWT, WW from plywood production",no,no,
48,18mm plywood,wastewater from plywood production,no,no,
49,18mm plywood,"window frame, wood, U=1.5 W/m2K",no,no,
50,18mm plywood,"residues, MSWI[F]-WWT, WW from plywood production",no,no,
51,1st choice rattan strip,1-pentanol,no,no,
52,1st choice rattan strip,pentane,no,no,
53,1st choice rattan strip,isobutanol,no,no,
54,1st choice viscose,"fibre, viscose",high,yes,
55,1st choice viscose,"coconut oil, crude",no,no,
56,1st choice viscose,bilge oil,no,no,
57,2-speed electric chain hoists,electric bicycle,no,no,
58,2-speed electric chain hoists,used electric bicycle,no,no,
59,24-hour vending machine,building machine,no,no,
60,24-hour vending machine,paper machine,no,no,
61,24-hour vending machine,"maintenance, refrigeration machine",no,no,
62,250l kraftliner drums,"containerboard, linerboard",no,no,
63,250l kraftliner drums,medium density fibreboard,no,no,
64,250ml fanta drinks,spent antifreezer liquid,no,no,
65,250ml fanta drinks,"petrol, 5% ethanol by volume from biomass",no,no,
66,250ml fanta drinks,"petrol, 85% ethanol by volume from biomass",no,no,
67,250ml fanta drinks,"fluorine, liquid",no,no,
68,250ml fanta drinks,"diethyl ether, without water, in 99.95% solution state",no,no,
69,2nd hand machine,paper machine,no,no,
70,2nd hand machine,"metal working machine, unspecified",no,no,
71,2nd hand machine,"industrial machine, heavy, unspecified",no,no,
72,2nd hand machine,building machine,no,no,
73,2nd hand machine,"machine, for treatment of waste electric and electronic equipment",no,no,
74,330ml pepsi drinks,coke,no,no,
75,330ml pepsi drinks,petroleum coke,no,no,
76,330ml pepsi drinks,used beverage cans,no,no,
77,330ml pepsi drinks,"hydrogen, liquid",no,no,
78,330ml pepsi drinks,dimethyl carbonate,no,no,
79,3d laser scanners,"used printer, laser",no,no,
80,3d laser scanners,"printer, laser, colour",no,no,
81,3d laser scanners,"printer, laser, black/white",no,no,
82,3d printers,"used printer, laser",no,no,
83,3d printers,"printer, laser, colour",no,no,
84,3d printers,printed paper,no,no,
85,3d printers,paper machine,no,no,
86,3d printers,"printer, laser, black/white",no,no,
87,3d printing,printed paper,no,no,
88,3d printing,paper machine,no,no,
89,3d printing,"used printer, laser",no,no,
90,3d printing,"paper, newsprint",no,no,
91,3d printing,"printer, laser, colour",no,no,
92,3d scanner,"used printer, laser",no,no,
93,4-corner blade,"used trawler, steel",no,no,
94,4-corner blade,"trawler, steel",no,no,
95,4-corner blade,"mowing, by rotary mower",no,no,
96,4-corner blade,potato haulm cutting,no,no,
97,4wd vehicles,"tractor, 4-wheel, agricultural",no,no,
98,4wd vehicles,road vehicle factory,no,no,
99,4wd vehicles,used light commercial vehicle,no,no,
100,4wd vehicles,light commercial vehicle,no,no,
101,4wd vehicles,"electric motor, vehicle",no,no,
102,6-passenger taxis,"transport, passenger car",high,yes,
103,6-passenger taxis,"transport, passenger, electric scooter",no,no,
104,6-passenger taxis,"transport, passenger, motor scooter",no,no,
105,6-passenger taxis,"train, passenger, regional",no,no,
106,6-passenger taxis,"transport, passenger train",no,no,
107,abrasive belts,conveyor belt,no,no,
108,abrasive belts,"bleaching, textile",no,no,
109,abrasive belts,"aluminium removed by milling, dressing",no,no,
110,abrasive belts,"aluminium removed by turning, primarily dressing, conventional",no,no,
111,abrasive belts,"contouring, bronze",no,no,
112,abrasive discs,"deinked pulp, wet lap",no,no,
113,abrasive discs,"sulfate pulp, bleached",no,no,
114,abrasive discs,"sulfite pulp, bleached",no,no,
115,abrasive discs,"anodising, aluminium sheet",no,no,
116,abrasive discs,"aluminium removed by turning, primarily dressing, computer numerical controlled",no,no,
117,abrasive flap wheels,solid bleached and unbleached board carton,no,no,
118,abrasive flap wheels,"waste, pneumatic tyres",no,no,
119,abrasive flap wheels,"waste rubber, unspecified",no,no,
120,abrasive flap wheels,synthetic rubber,no,no,
121,abrasive fleece,"fleece, polyethylene",medium,yes,
122,abrasive fleece,horticultural fleece,no,no,
123,abrasive fleece,sheep fleece in the grease,no,no,
124,abrasive fleece,wood wool,no,no,
125,abrasive fleece,stone wool,no,no,
126,abrasive media,"bleaching, textile",no,no,
127,abrasive media,"refractory material, acid",no,no,
128,abrasive media,sanitary ceramics,no,no,
129,abrasive media,"limestone, crushed, washed",no,no,
130,abrasive media,waste glass,no,no,
131,abrasive paste,"metallization paste, back side",no,no,
132,abrasive paste,"metallization paste, back side, aluminium",no,no,
133,abrasive paste,"bleaching, textile",no,no,
134,abrasive paste,"metallization paste, front side",no,no,
135,abrasive paste,"sulfate pulp, bleached",no,no,
136,abrasive tapes,vinyl carbonate,no,no,
137,abrasive tapes,paper sack,no,no,
138,abrasive tapes,"waste paper, unsorted",no,no,
139,abrasive tapes,waste glass sheet,no,no,
140,abrasive tapes,"graphic paper, 100% recycled",no,no,
141,abrasive wheels,waste asphalt,no,no,
142,abrasive wheels,"bleaching, textile",no,no,
143,abrasive wheels,"waste, pneumatic tyres",no,no,
144,abrasive wheels,waste bitumen,no,no,
145,abrasive wheels,solid bleached and unbleached board carton,no,no,
146,abrasives,"bleaching, textile",no,no,
147,abrasives,"sulfite pulp, bleached",no,no,
148,abrasives,bauxite,no,no,
149,abrasives,"aluminium removed by milling, dressing",no,no,
150,abrasives,enamelling,no,no,
151,abrasives for ceramics,sanitary ceramics,no,no,
152,abrasives for ceramics,wastewater from ceramic production,no,no,
153,abrasives for ceramics,ceramic tile,no,no,
154,abrasives for ceramics,ceramic factory,no,no,
155,abrasives for ceramics,clay plaster,no,no,
156,abrasives for deburring,"bleaching, textile",no,no,
157,abrasives for deburring,ash from deinking sludge,no,no,
158,abrasives for floors,"bleaching, textile",no,no,
159,abrasives for floors,anhydrite floor,no,no,
160,abrasives for floors,"residual hardwood, wet",no,no,
161,abrasives for floors,"sawnwood, beam, hardwood, dried (u=10%), planed",no,no,
162,abrasives for floors,"sawnwood, beam, hardwood, dried (u=20%), planed",no,no,
163,abrasives for metal,scrap aluminium,no,no,
164,abrasives for metal,waste paint on metal,no,no,
165,abrasives for metal,"aluminium removed by milling, dressing",no,no,
166,abrasives for metal,waste aluminium,no,no,
167,abrasives for metal,"adhesive, for metal",no,no,
168,abrasives for wood,"wood cladding, softwood",no,no,
169,abrasives for wood,"waste wood, untreated",no,no,
170,abrasives for wood,waste paint on wood,no,no,
171,abrasives for wood,wood wool,no,no,
172,abrasives for wood,"sawnwood, beam, hardwood, dried (u=20%), planed",no,no,
173,abrasives in grains,wheat grain,no,no,
174,abrasives in grains,barley grain,no,no,
175,abrasives in grains,"aluminium removed by milling, dressing",no,no,
176,abrasives in grains,Distiller's Dried Grains with Solubles,no,no,
177,abrasives in grains,oat grain,no,no,
178,absinthe aperitif drink,ethylamine,no,no,
179,absinthe aperitif drink,green liquor dregs,no,no,
180,absinthe aperitif drink,soybean beverage,no,no,
181,absinthe aperitif drink,ethoxylated alcohol (AE>20),no,no,
182,absinthe aperitif drink,"water, ultrapure",no,no,
183,ac/dc converter,"converter, for electric passenger car",no,no,
184,ac/dc converter,electric arc furnace converter,no,no,
185,ac/dc converter,"inverter, for electric passenger car",no,no,
186,ac/dc converter,"power adapter, for laptop",no,no,
187,ac/dc converter,"inverter, 500kW",no,no,
188,acacia decking,"wood cladding, softwood",medium,yes,
189,acacia decking,woven bamboo mat,no,no,
190,acacia decking,wood wool,no,no,
191,acacia decking,cross-laminated timber,no,no,
192,acacia decking,"wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact",no,no,
193,acacia honey,"molasses, from sugar beet",no,no,
194,acacia honey,almond,no,no,
195,acacia honey,"sugar, from sugar beet",no,no,
196,acacia honey,sweet sorghum grain,no,no,
197,acacia honey,sesame seed,no,no,
198,accumulators for stationary traction applications,"powertrain, for electric scooter",no,no,
199,"accumulators, maintenance-free","manual treatment facility, waste electric and electronic equipment",no,no,
200,"accumulators, maintenance-free","maintenance, refrigeration machine",no,no,
201,"accumulators, maintenance-free","mechanical treatment facility, waste electric and electronic equipment",no,no,
202,"accumulators, maintenance-free","dust collector, electrostatic precipitator, for domestic use",no,no,
203,"accumulators, maintenance-free","machine, for treatment of waste electric and electronic equipment",no,no,
204,aceite iberico,acetoacetic acid,no,no,
205,aceite iberico,cobalt acetate,no,no,
206,aceite iberico,acetanilide,no,no,
207,aceite iberico,acetylene,no,no,
208,aceite iberico,acetonitrile,no,no,
209,acerola extracts,acetoacetic acid,no,no,
210,acerola extracts,acetaldehyde,no,no,
211,acerola extracts,"acetamide-anillide-compound, unspecified",no,no,
212,acerola extracts,acetic anhydride,no,no,
213,acerola extracts,ethyl acetate,no,no,
214,acesulfame,acetanilide,no,no,
215,acesulfame,amidosulfuron,no,no,
216,acesulfame,sulfur,no,no,
217,acesulfame,sodium silver thiosulfate,no,no,
218,acesulfame,sulfite,no,no,
219,acetate film,vinyl acetate,no,no,
220,acetate film,ethyl acetate,no,no,
221,acetate film,methyl acetate,no,no,
222,acetate film,isopropyl acetate,no,no,
223,acetate film,cobalt acetate,no,no,
224,acial piston motors,"electric motor, vehicle",no,no,
225,acial piston motors,"electric motor, for electric scooter",no,no,
226,acial piston motors,"electric motor, electric passenger car",no,no,
227,acial piston motors,"permanent magnet, for electric motor",no,no,
228,acial piston motors,"gas motor, 206kW",no,no,
229,acid containers,"liquid storage tank, chemicals, organics",medium,yes,
230,acid containers,liquid packaging board container,no,no,
231,acid containers,"refractory material, acid",no,no,
232,acid containers,"container, for collection of post-consumer waste plastic for recycling",no,no,
233,acid containers,sulfuric acid,no,no,
234,acid oil,fatty acid,medium,yes,
235,acid oil,"coconut oil, crude",no,no,
236,acid oil,sulfuric acid,no,no,
237,acid oil,"vegetable oil, refined",no,no,
238,acid oil,base oil,no,no,
239,acid pump,pump station,no,no,
240,acid pump,"water pump operation, electric",no,no,
241,acid pump,propionic acid,no,no,
242,acid pump,"pump, 40W",no,no,
243,acid pump,sulfuric acid,no,no,
244,acid-proof clothing,"bleaching, textile",no,no,
245,acid-proof clothing,"refractory material, acid",no,no,
246,acid-proof clothing,acrylic acid,no,no,
247,acid-proof clothing,"textile, silk",no,no,
248,acid-proof clothing,"sanforizing, textile",no,no,
249,acid-resistant cast steel,"aluminium, cast alloy",no,no,
250,acid-resistant cast steel,cast iron,no,no,
251,acid-resistant cast steel,"casting, steel, lost-wax",no,no,
252,acid-resistant cast steel,"steel, low-alloyed",medium,yes,
253,acid-resistant cast steel,scrap steel,no,no,
254,acid-resistant floor-coverings,"refractory material, acid",no,no,
255,acid-resistant floors,"refractory material, acid",no,no,
256,acid-resistant floors,benzoic acid,no,no,
257,acid-resistant floors,sulfuric acid,no,no,
258,acid-resistant floors,methacrylic acid,no,no,
259,acid-resistant floors,propionic acid,no,no,
260,acid-resistant steel flanges,"used room-connecting overflow element steel, approx. 40 m3/h",no,no,
261,acid-resistant steel flanges,chromium steel pipe,no,no,
262,acid-resistant steel flanges,waste reinforcement steel,no,no,
263,acid-resistant steels,scrap steel,no,no,
264,acid-resistant steels,"steel, low-alloyed",medium,yes,
265,acid-resistant steels,reinforcing steel,medium,yes,
266,acid-resistant steels,"steel, chromium steel 18/8",medium,yes,
267,acid-resistant steels,"powder coat, steel",no,no,
268,acidproof cladding materials for industrial sites,"cladding, crossbar-pole, aluminium",no,no,
269,acidproof cladding materials for industrial sites,"refractory material, acid",no,no,
270,acidproof cladding materials for industrial sites,"wood cladding, softwood",no,no,
271,acidproof cladding materials for industrial sites,metal coating facility,no,no,
272,acidproof cladding materials for industrial sites,"wood preservation facility, flow coating equipment",no,no,
273,acids,fatty acid,medium,yes,
274,acids,sulfuric acid,medium,yes,
275,acids,propionic acid,medium,yes,
276,acids,chloroacetic acid,medium,yes,
277,acids,methacrylic acid,medium,yes,
278,acoustic ceiling tiles,roof tile,no,no,
279,acoustic ceiling tiles,ceramic tile,no,no,
280,acoustic ceiling tiles,concrete roof tile,no,no,
281,acoustic ceiling tiles,cement tile,no,no,
282,acoustic insulation - materials,"sound insulation, heat and power co-generation unit, 160kW electrical",no,no,
283,acoustic insulation - materials,"tube insulation, elastomere",no,no,
284,acoustic insulation - materials,"insulation spiral-seam duct, rockwool, DN 400, 30 mm",medium,yes,
285,acoustic insulation - materials,"used insulation spiral-seam duct rockwool, DN 400",medium,yes,
286,acoustic insulation - materials,polystyrene foam slab for perimeter insulation,no,no,
287,acoustic insulation wood windows,"sound insulation, heat and power co-generation unit, 160kW electrical",no,no,
288,acoustic insulation wood windows,"door, outer, wood-glass",no,no,
289,acoustic insulation wood windows,"door, inner, glass-wood",no,no,
290,acoustic insulation wood windows,"used window frame, wood",medium,yes,
291,acoustic insulation wood windows,"wood preservation facility, oscillating pressure method",no,no,
292,acoustic isolation,"electronic component, passive, mobile, earpiece and speaker",no,no,
293,acoustic isolation,"sound insulation, heat and power co-generation unit, 160kW electrical",no,no,
294,acoustic panels,"sound insulation, heat and power co-generation unit, 160kW electrical",no,no,
295,acoustic panels,"electronic component, passive, mobile, earpiece and speaker",no,no,
296,acrylic adhesives,"adhesive, for metal",no,no,
297,acrylic adhesives,acrylic acid,no,no,
298,acrylic adhesives,acrylic filler,no,no,
299,acrylic adhesives,methyl acrylate,no,no,
300,acrylic adhesives,polyurethane adhesive,no,no,
301,acrylic display,acrylic acid,no,no,
302,acrylic display,acrylic filler,no,no,
303,acrylic display,used liquid crystal display,no,no,
304,acrylic display,methyl acrylate,no,no,
305,acrylic display,butyl acrylate,no,no,
306,acrylic for nails,acrylic acid,no,no,
307,acrylic for nails,methyl acrylate,no,no,
308,acrylic for nails,acrylonitrile,no,no,
309,acrylic for nails,butyl acrylate,no,no,
310,acrylic for nails,acrylic filler,no,no,
311,acrylic glass,acrylic acid,no,no,
312,acrylic glass,methyl acrylate,no,no,
313,acrylic glass,acrylic filler,no,no,
314,acrylic glass,foam glass,no,no,
315,acrylic glass,"flat glass, uncoated",no,no,
316,acrylic prosthetics,acrylic filler,no,no,
317,acrylic prosthetics,acrylic acid,no,no,
318,acrylic prosthetics,butyl acrylate,no,no,
319,acrylic prosthetics,methyl acrylate,no,no,
320,acrylic prosthetics,acrylonitrile,no,no,
321,acrylic resins,anionic resin,no,no,
322,acrylic resins,cationic resin,no,no,
323,acrylic resins,acrylic filler,no,no,
324,acrylic resins,phenolic resin,no,no,
325,acrylic resins,methyl acrylate,no,no,
326,acrylic sheets,acrylic filler,no,no,
327,acrylic sheets,acrylic acid,no,no,
328,acrylic sheets,methyl acrylate,no,no,
329,acrylic sheets,butyl acrylate,no,no,
330,acrylic sheets,"laminating service, foil, with acrylic binder",no,no,
331,acrylic teeth,acrylic acid,no,no,
332,acrylic teeth,methyl acrylate,no,no,
333,acrylic teeth,butyl acrylate,no,no,
334,acrylic teeth,acrylic filler,no,no,
335,acrylic teeth,acrylonitrile,no,no,
336,action cameras,"operation, computer, laptop, videoconference",no,no,
337,activated carbon,"activated carbon, granular",high,yes,
338,activated carbon,"spent activated carbon, granular",medium,yes,
339,activated carbon,spent activated carbon with mercury,no,no,
340,activated carbon,carbon black,no,no,
341,activated carbon,carbon monoxide,no,no,
342,activated carbon filter,"activated carbon, granular",no,no,
343,activated carbon filter,spent activated carbon with mercury,no,no,
344,activated carbon filter,"spent activated carbon, granular",no,no,
345,activated carbon filter,"air filter, in exhaust air valve",no,no,
346,activated carbon filter,carbon black,no,no,
347,"activated carbon filters, regenerative",spent activated carbon with mercury,no,no,
348,"activated carbon filters, regenerative","activated carbon, granular",no,no,
349,"activated carbon filters, regenerative","spent activated carbon, granular",no,no,
350,"activated carbon filters, regenerative","used air filter central unit, 600 m3/h",no,no,
351,"activated carbon filters, regenerative","used air filter decentralized unit, 250 m3/h",no,no,
352,activated carbon reactivation,"activated carbon, granular",medium,yes,
353,activated carbon reactivation,spent activated carbon with mercury,no,no,
354,activated carbon reactivation,"spent activated carbon, granular",high,yes,
355,activated carbon reactivation,carbon tetrachloride,no,no,
356,activated carbon reactivation,carbon monoxide,no,no,
357,activated carbons for sludge filtering plants,"spent activated carbon, granular",medium,yes,
358,activated carbons for sludge filtering plants,"activated carbon, granular",high,yes,
359,activated carbons for sludge filtering plants,basic oxygen furnace sludge,no,no,
360,activated carbons for sludge filtering plants,"basic oxygen furnace sludge, for recovery",no,no,
361,activated carbons for sludge filtering plants,spent activated carbon with mercury,no,no,
362,active carbon filter,"activated carbon, granular",medium,yes,
363,active carbon filter,spent activated carbon with mercury,no,no,
364,active carbon filter,"air filter, in exhaust air valve",no,no,
365,active carbon filter,"spent activated carbon, granular",no,no,
366,active carbon filter,used air filter in exhaust air valve,no,no,
367,actuator,"used glider, electric scooter",no,no,
368,actuator,"controller, for electric scooter",no,no,
369,actuator,used motor scooter,no,no,
370,actuator,"elevator, hydraulic",no,no,
371,actuator,"glider, for electric scooter",no,no,
372,actuator connectors,"electric connector, peripheral type buss",no,no,
373,actuator connectors,"electric connector, peripheral component interconnect buss",no,no,
374,actuator connectors,"electric connector, wire clamp",no,no,
375,actuator connectors,"cable, ribbon cable, 20-pin, with plugs",no,no,
376,actuator connectors,"plug, inlet and outlet, for computer cable",no,no,
377,actuator-sensor cables,"cable, three-conductor cable",medium,yes,
378,actuator-sensor cables,"cable, unspecified",medium,yes,
379,actuator-sensor cables,"cable, ribbon cable, 20-pin, with plugs",no,no,
380,"actuators, electromagnetic","electric motor, for electric scooter",no,no,
381,"actuators, electromagnetic","electronics, for control units",no,no,
382,"actuators, electromagnetic","electric motor, vehicle",no,no,
383,"actuators, electromagnetic","electronic component, passive, unspecified",no,no,
384,"actuators, electromagnetic","electronic component, passive, mobile, earpiece and speaker",no,no,
385,acyclic compounds,cyclic N-compound,no,no,
386,acyclic compounds,cyanuric chloride,no,no,
387,acyclic compounds,acetyl chloride,no,no,
388,acyclic compounds,thionyl chloride,no,no,
389,acyclic compounds,acrylonitrile,no,no,
390,adapters,"power adapter, for laptop",medium,yes,
391,adapters,"power adapter, for smartphone",medium,yes,
392,adapters,"electric connector, peripheral type buss",no,no,
393,adapters,"electric connector, peripheral component interconnect buss",no,no,
394,additive,"electrolyte, KOH, LiOH additive",medium,yes,
395,additive,ethylenediamine,medium,yes,
396,additive,"chemical, inorganic",medium,yes,
397,additive,"gypsum, mineral",medium,yes,
398,additive,polyol,medium,yes,
399,additives for dressed pork products,"grass silage, organic",no,no,
400,additives for dressed pork products,pig iron,no,no,
401,additives for dressed pork products,"residues, MSWI-WWT, WW from pig iron production",no,no,
402,additives for dressed pork products,"poultry manure, dried",no,no,
403,additives for engines,diesel,no,no,
404,additives for engines,"petrol, 15% ETBE additive by volume, with ethanol from biomass",medium,yes,
405,additives for engines,"petrol, 4% ETBE additive by volume, with ethanol from biomass",medium,yes,
406,additives for engines,"petrol, two-stroke blend",medium,yes,
407,additives for engines,spent automobile catalyst,no,no,
408,additives for meat,"mineral supplement, for beef cattle",no,no,
409,additives for meat,meat and bone meal,medium,yes,
410,additives for meat,"protein feed, 100% crude",no,no,
411,additives for meat,"red meat, live weight",no,no,
412,additives for meat,"poultry manure, dried",no,no,
413,additives for plastic materials,"waste plastic, mixture",no,no,
414,additives for plastic materials,"plasticiser, for concrete, based on sulfonated melamine formaldehyde",no,no,
415,additives for plastic materials,waste wire plastic,no,no,
416,additives for plastic materials,"waste plastic, industrial electronics",no,no,
417,additives for plastic materials,plastic processing factory,no,no,
418,additives for polyurethane,waste polyurethane,no,no,
419,additives for polyurethane,polyurethane adhesive,no,no,
420,additives for polyurethane,waste polyurethane seal,no,no,
421,additives for polyurethane,waste polyurethane foam,no,no,
422,additives for polyurethane,"polyurethane, flexible foam, flame retardant",no,no,
423,additives for precooked products,"protein feed, 100% crude",no,no,
424,additives for precooked products,"wood preservative, organic salt, Cr-free",no,no,
425,additives for precooked products,"wood preservative, organic, indoor use, dry",no,no,
426,additives for precooked products,"petrol, 15% ETBE additive by volume, with ethanol from biomass",no,no,
427,additives for precooked products,"petrol, 4% ETBE additive by volume, with ethanol from biomass",no,no,
428,additives for water treatment,"wastewater, unpolluted",no,no,
429,additives for water treatment,"residue from rutile production, synthetic, 56% water",no,no,
430,additives for water treatment,"water, ultrapure",no,no,
431,additives for water treatment,"cleaning consumables, without water, in 13.6% solution state",no,no,
432,additives for water treatment,"waste cement, hydrated",no,no,
433,"additives, colourings","toner, colour, powder",medium,yes,
434,"additives, colourings","continuous dyeing, fibre, cotton",no,no,
435,"additives, colourings","selective coat, copper sheet, black majic",no,no,
436,"additives, colourings","batch dyeing, fibre, cotton",no,no,
437,"additives, colourings",supplementary cementitious materials,no,no,
438,"additives, pigments","selective coat, aluminium sheet, nickel pigmented aluminium oxide",medium,yes,
439,"additives, pigments",cyanogen chloride,no,no,
440,"additives, pigments",solvent for paint,no,no,
441,"additives, pigments","toner, colour, powder",medium,yes,
442,"additives, pigments",cyanoacetic acid,no,no,
443,adhesion promoters,"adhesive, for metal",no,no,
444,adhesion promoters,adhesive mortar,no,no,
445,adhesive,"adhesive, for metal",medium,yes,
446,adhesive,adhesive mortar,medium,yes,
447,adhesive,polyurethane adhesive,medium,yes,
448,adhesive,"bitumen adhesive compound, hot",medium,yes,
449,adhesive,melamine urea formaldehyde adhesive,medium,yes,
450,adhesive assembly tape,"adhesive, for metal",no,no,
451,adhesive assembly tape,polyurethane adhesive,no,no,
452,adhesive assembly tape,adhesive mortar,no,no,
453,adhesive assembly tape,"sealing tape, aluminium/PE, 50 mm wide",medium,yes,
454,adhesive assembly tape,"used sealing tape aluminium/PE, 50 mm wide",medium,yes,
455,adhesive bands,"adhesive, for metal",no,no,
456,adhesive bands,polyurethane adhesive,no,no,
457,adhesive bands,adhesive mortar,no,no,
458,adhesive bands,melamine urea formaldehyde adhesive,no,no,
459,adhesive bands,"bitumen adhesive compound, hot",no,no,
460,adhesive bumpers,"adhesive, for metal",no,no,
461,adhesive bumpers,adhesive mortar,no,no,
462,adhesive bumpers,polyurethane adhesive,no,no,
463,adhesive dots,"adhesive, for metal",no,no,
464,adhesive dots,adhesive mortar,no,no,
465,adhesive dots,polyurethane adhesive,no,no,
466,adhesive dots,"bitumen adhesive compound, hot",no,no,
467,adhesive dots,"bitumen adhesive compound, cold",no,no,
468,adhesive flap,"adhesive, for metal",no,no,
469,adhesive flap,polyurethane adhesive,no,no,
470,adhesive flap,adhesive mortar,no,no,
471,adhesive friezes,"adhesive, for metal",no,no,
472,adhesive friezes,polyurethane adhesive,no,no,
473,adhesive friezes,adhesive mortar,no,no,
474,adhesive friezes,melamine urea formaldehyde adhesive,no,no,
475,adhesive friezes,"fibreboard, soft, without adhesives",no,no,
476,adhesive glues for construction work,"adhesive, for metal",medium,yes,
477,adhesive glues for construction work,adhesive mortar,medium,yes,
478,adhesive glues for construction work,polyurethane adhesive,medium,yes,
479,adhesive glues for construction work,melamine urea formaldehyde adhesive,medium,yes,
480,adhesive glues for construction work,"glued laminated timber, PUR-glue",medium,yes,
481,adhesive masking tapes,"sealing tape, aluminium/PE, 50 mm wide",no,no,
482,adhesive masking tapes,"used sealing tape aluminium/PE, 50 mm wide",no,no,
483,adhesive masking tapes,"adhesive, for metal",no,no,
484,adhesive masking tapes,polyurethane adhesive,no,no,
485,adhesive paper,printed paper,no,no,
486,adhesive paper,"adhesive, for metal",no,no,
487,adhesive paper,tissue paper,no,no,
488,adhesive paper,adhesive mortar,no,no,
489,adhesive paper,"paper, newsprint",no,no,
490,adhesive price label,"adhesive, for metal",no,no,
491,adhesive price label,polyurethane adhesive,no,no,
492,adhesive steel foils,"adhesive, for metal",no,no,
493,adhesive steel foils,"ethylvinylacetate, foil",no,no,
494,adhesive steel foils,metal coating facility,no,no,
495,adhesive steel foils,"laminating service, foil, with acrylic binder",no,no,
496,adhesive steel foils,reinforcing steel,no,no,
497,adhesive strip rolls,"sheet rolling, aluminium",no,no,
498,adhesive strip rolls,"adhesive, for metal",no,no,
499,adhesive strip rolls,"sheet rolling, copper",no,no,
500,adhesive strip rolls,"sheet rolling, chromium steel",no,no,
501,adhesive strip rolls,"sheet rolling, steel",no,no,
502,adhesive tape,"adhesive, for metal",no,no,
503,adhesive tape,adhesive mortar,no,no,
504,adhesive tape,polyurethane adhesive,no,no,
505,adhesive tape,"sealing tape, aluminium/PE, 50 mm wide",no,no,
506,adhesive tape,"used sealing tape aluminium/PE, 50 mm wide",no,no,
507,adhesive tape dispenser,"adhesive, for metal",no,no,
508,adhesive tape dispenser,polyurethane adhesive,no,no,
509,adhesive tape dispenser,adhesive mortar,no,no,
510,adhesive tape dispenser,"used sealing tape aluminium/PE, 50 mm wide",no,no,
511,adhesive tape dispenser,"sealing tape, aluminium/PE, 50 mm wide",no,no,
512,"adhesive tapes, heat-resistant","adhesive, for metal",no,no,
513,"adhesive tapes, heat-resistant","sealing tape, aluminium/PE, 50 mm wide",no,no,
514,"adhesive tapes, heat-resistant","used sealing tape aluminium/PE, 50 mm wide",no,no,
515,"adhesive tapes, heat-resistant","bitumen adhesive compound, hot",no,no,
516,"adhesive tapes, heat-resistant","fibreboard, soft, without adhesives",no,no,
517,adhesives for boating,"adhesive, for metal",medium,yes,
