main_activity,clustered,tilt_subsector
subcontractor,metal transformation,Iron & Steel
multi-category,metal transformation,Iron & Steel
agent/ representative,metal transformation,Iron & Steel
retailer,metal transformation,Iron & Steel
missing,c.n.c milling,Iron & Steel
subcontractor,c.n.c milling,Iron & Steel
multi-category,c.n.c milling,Iron & Steel
distributor,cnc boring,Iron & Steel
multi-category,cnc boring,Automotive LDV
subcontractor,cnc milling,Iron & Steel
distributor,grinding,Iron & Steel
wholesaler,grinding,Iron & Steel
missing,grinding,Iron & Steel
retailer,grinding,Iron & Steel
subcontractor,grinding,Iron & Steel
service provider,brazing,Iron & Steel
wholesaler,brazing,Iron & Steel
agent/ representative,brazing,Iron & Steel
retailer,brazing,Iron & Steel
service provider,chamfering of carbon steel sheets,Iron & Steel
manufacturer/ producer,chamfering of carbon steel sheets,Iron & Steel
wholesaler,chamfering of carbon steel sheets,Iron & Steel
service provider,bending of carbon steel sheets,Iron & Steel
manufacturer/ producer,bending of carbon steel sheets,Iron & Steel
wholesaler,bending of carbon steel sheets,Iron & Steel
manufacturer/ producer,"bar turning, metal",Iron & Steel
wholesaler,"bar turning, metal",Iron & Steel
subcontractor,"bar turning, metal",Iron & Steel
wholesaler,shaping steels,Iron & Steel
missing,shaping steels,Iron & Steel
subcontractor,shaping steels,Iron & Steel
agent/ representative,mechanic engineering,Automotive LDV
retailer,mechanic engineering,Machinery & Equipment
missing,metal drilling,Iron & Steel
manufacturer/ producer,metal cutting,Iron & Steel
missing,metal cutting,Iron & Steel
subcontractor,metal cutting,Iron & Steel
manufacturer/ producer,micromechanics,Iron & Steel
subcontractor,micromechanics,Iron & Steel
service provider,milling of rubber,Iron & Steel
service provider,milling of plastic,Iron & Steel
service provider,turning of plastic,Iron & Steel
distributor,precision undercutting,Iron & Steel
wholesaler,precision undercutting,Iron & Steel
subcontractor,precision undercutting,Iron & Steel
agent/ representative,precision undercutting,Iron & Steel
service provider,number control rolling,Iron & Steel
manufacturer/ producer,number control rolling,Iron & Steel
subcontractor,number control rolling,Iron & Steel
service provider,multispindle lathes,Iron & Steel
subcontractor,multispindle lathes,Iron & Steel
service provider,design software,Iron & Steel
service provider,industrial prototypes,Iron & Steel
distributor,industrial prototypes,Iron & Steel
missing,industrial prototypes,Fishing & Forestry
wholesaler,industrial prototypes,Other Industry
subcontractor,industrial prototypes,Aviation
service provider,motor grinding,Iron & Steel
service provider,panel finishing,Iron & Steel
multi-category,panel finishing,Iron & Steel
service provider,sheet metal punching,Iron & Steel
manufacturer/ producer,sheet metal punching,Iron & Steel
missing,laser welding machine,Machinery & Equipment
service provider,tapping,Iron & Steel
wholesaler,tapping,Iron & Steel
missing,tapping,Iron & Steel
subcontractor,tapping,Iron & Steel
retailer,tapping,Iron & Steel
service provider,design of customised parts,Iron & Steel
subcontractor,design of customised parts,Iron & Steel
service provider,production of customised parts,Iron & Steel
subcontractor,production of customised parts,Iron & Steel
manufacturer/ producer,bar turning,Iron & Steel
missing,bar turning,Iron & Steel
subcontractor,bar turning,Iron & Steel
service provider,micro-turning for connectors,Iron & Steel
service provider,stamping,Iron & Steel
subcontractor,stamping,Iron & Steel
agent/ representative,stamping,Iron & Steel
service provider,wire spark erosion,Iron & Steel
service provider,cutting of steels,Iron & Steel
manufacturer/ producer,cutting of steels,Iron & Steel
missing,cutting of steels,Iron & Steel
subcontractor,cutting of steels,Iron & Steel
service provider,broaching,Iron & Steel
manufacturer/ producer,broaching,Iron & Steel
service provider,robot mig welding,Iron & Steel
agent/ representative,metal houseware,Other Metals
retailer,metal houseware,Iron & Steel
service provider,polishing,Iron & Steel
distributor,polishing,Iron & Steel
wholesaler,polishing,Iron & Steel
missing,polishing,Iron & Steel
subcontractor,polishing,Iron & Steel
multi-category,polishing,Iron & Steel
retailer,polishing,Iron & Steel
retailer,precious metal,Other Metals
manufacturer/ producer,varnishing steels,Iron & Steel
wholesaler,varnishing steels,Iron & Steel
missing,varnishing steels,Iron & Steel
manufacturer/ producer,varnishing metals,Iron & Steel
wholesaler,varnishing metals,Iron & Steel
missing,varnishing metals,Iron & Steel
retailer,plastics - industrial products,Other Industry
retailer,surface treatment machinery,Machinery & Equipment
subcontractor,surface treatment equipment,Iron & Steel
retailer,"wood, treated",Fishing & Forestry
distributor,scouring,Iron & Steel
wholesaler,scouring,Iron & Steel
missing,scouring,Iron & Steel
missing,zinc alloy,Iron & Steel
subcontractor,cutting - machine tools,Iron & Steel
distributor,"sheet metals, stamping",Iron & Steel
missing,plastic coating,Iron & Steel
distributor,electroplating - machines,Iron & Steel
wholesaler,electroplating - machines,Iron & Steel
missing,electroplating - machines,Iron & Steel
distributor,shearing,Iron & Steel
missing,shearing,Iron & Steel
distributor,3-axis cnc machining,Iron & Steel
subcontractor,3-axis cnc machining,Iron & Steel
distributor,5-axis cnc machining,Iron & Steel
subcontractor,5-axis cnc machining,Iron & Steel
subcontractor,metal assembly work,Iron & Steel
missing,cast iron items,Iron & Steel
multi-category,cast iron items,Iron & Steel
retailer,ball bearing,Iron & Steel
retailer,needle bearings,Iron & Steel
retailer,roller bearings,Iron & Steel
subcontractor,industrial maintenance,Machinery & Equipment
multi-category,industrial maintenance,Machinery & Equipment
agent/ representative,industrial maintenance,Total Power
manufacturer/ producer,pickling,Iron & Steel
manufacturer/ producer,pickling metal,Iron & Steel
multi-category,stainless steel,Iron & Steel
agent/ representative,stainless steel,Iron & Steel
retailer,stainless steel,Iron & Steel
multi-category,industrial washing,Iron & Steel
missing,laser welding,Iron & Steel
manufacturer/ producer,sheet metal construction,Iron & Steel
wholesaler,metal machining,Iron & Steel
subcontractor,special steel,Iron & Steel
multi-category,special steel,Iron & Steel
agent/ representative,special steel,Iron & Steel
retailer,special steel,Iron & Steel
subcontractor,steel,Iron & Steel
retailer,steel,Iron & Steel
multi-category,steel,Iron & Steel
subcontractor,metal,Iron & Steel
retailer,metal,Iron & Steel
multi-category,metal,Other Transport
wholesaler,boring steels,Iron & Steel
missing,boring steels,Iron & Steel
wholesaler,metal boring,Iron & Steel
missing,metal boring,Iron & Steel
missing,wines - galicia,Food Related Products
missing,wines - castilla y león,Food Related Products
missing,"plumbing, industrial",Other Industry
service provider,large turned parts,Iron & Steel
service provider,3d milling,Iron & Steel
manufacturer/ producer,3d milling,Iron & Steel
subcontractor,5 axis milling,Iron & Steel
wholesaler,cnc turned parts,Iron & Steel
missing,cnc turned parts,Iron & Steel
service provider,perforation of metals,Iron & Steel
manufacturer/ producer,perforation of metals,Iron & Steel
wholesaler,perforation of metals,Iron & Steel
missing,perforation of metals,Iron & Steel
retailer,machine for industrial cleaning,Automotive HDV
wholesaler,"towers, metal",Construction Buildings
missing,shop fittings,Machinery & Equipment
retailer,shop fittings,Construction Residential
distributor,drill bit,Iron & Steel
distributor,countersinks,Iron & Steel
manufacturer/ producer,shotblasting materials,Iron & Steel
missing,shotblasting materials,Iron & Steel
service provider,cast iron,Iron & Steel
service provider,"moulds, foundry",Iron & Steel
service provider,die casting moulds,Iron & Steel
service provider,"moulds, plastic industry",Iron & Steel
subcontractor,"moulds, plastic industry",Iron & Steel
service provider,"moulds, rubber industry",Iron & Steel
subcontractor,"moulds, rubber industry",Iron & Steel
service provider,metal engraving machine tools,Iron & Steel
wholesaler,metal engraving machine tools,Iron & Steel
subcontractor,metal engraving machine tools,Iron & Steel
distributor,brazing metals,Iron & Steel
wholesaler,brazing metals,Iron & Steel
missing,plastics - construction industry,Other Industry
service provider,oxygen cutting - machines,Iron & Steel
wholesaler,oxygen cutting - machines,Iron & Steel
missing,oxygen cutting - machines,Machinery & Equipment
service provider,artistic training,Iron & Steel
manufacturer/ producer,oxidation,Iron & Steel
missing,reprographics machinery,Machinery & Equipment
retailer,reprographics machinery,Machinery & Equipment
missing,reprographics equipment,Machinery & Equipment
retailer,reprographics equipment,Machinery & Equipment
service provider,steel bending,Iron & Steel
manufacturer/ producer,steel bending,Iron & Steel
subcontractor,steel processing,Iron & Steel
service provider,rolling,Iron & Steel
multi-category,rolling,Other Industry
multi-category,car,Automotive HDV
multi-category,parquet floors,Construction Residential
retailer,boilerwork,Other Industry
agent/ representative,camping vehicles,Automotive LDV
agent/ representative,camping parts,Automotive LDV
agent/ representative,caravans parts,Automotive LDV
agent/ representative,caravans accessories,Automotive LDV
agent/ representative,gas,Fishing & Forestry
distributor,heat treatment furnaces,Iron & Steel
wholesaler,heat treatment furnaces,Construction Buildings
missing,heat treatment furnaces,Renewable Energy
multi-category,consultants construction,Construction Residential
agent/ representative,marble,Construction Residential
agent/ representative,natural stone,Construction Residential
missing,software - electronic data processing,Agriculture & Livestock
multi-category,plastic floor covering,Construction Buildings
retailer,plastic floor covering,Other Industry
retailer,printing machinery,Machinery & Equipment
retailer,setting machinery,Machinery & Equipment
subcontractor,structural work,Construction Buildings
retailer,structural work,Construction Buildings
missing,welding supplies,Machinery & Equipment
missing,soldering equipment,Machinery & Equipment
missing,soldering supplies,Machinery & Equipment
missing,brazing equipment,Machinery & Equipment
missing,brazing supplies,Machinery & Equipment
retailer,finishing work,Construction Residential
multi-category,"vehicles, telematics",Automotive LDV
retailer,"vehicles, telematics",Automotive LDV
missing,signalling systems,Automotive LDV
multi-category,signalling systems,Automotive LDV
missing,signalling installations,Automotive LDV
multi-category,signalling installations,Automotive LDV
agent/ representative,hardware,Food Related Products
missing,wrought iron,Iron & Steel
subcontractor,wrought iron,Iron & Steel
multi-category,wrought iron,Machinery & Equipment
multi-category,protection services,Fishing & Forestry
missing,plumbing installations,Renewable Energy
subcontractor,plumbing installations,Fishing & Forestry
agent/ representative,manufacture machinery,Construction Buildings
agent/ representative,manufacture equipment,Construction Buildings
multi-category,marking machinery,Other Industry
retailer,marking machinery,Machinery & Equipment
multi-category,labelling machinery,Other Industry
retailer,labelling machinery,Machinery & Equipment
retailer,mirrors,Construction Residential
distributor,metallization,Iron & Steel
subcontractor,metallization,Iron & Steel
service provider,waterjet cutting conversion centres,Iron & Steel
manufacturer/ producer,waterjet cutting conversion centres,Iron & Steel
agent/ representative,waterjet cutting conversion centres,Iron & Steel
service provider,heat treatment,Iron & Steel
service provider,carbonitriding of metals,Iron & Steel
manufacturer/ producer,carbonitriding of metals,Iron & Steel
service provider,finishing work on metals,Iron & Steel
multi-category,finishing work on metals,Iron & Steel
service provider,coating machinery,Iron & Steel
service provider,degreasing,Iron & Steel
subcontractor,sandblasting,Iron & Steel
service provider,spark erosion,Iron & Steel
missing,spark erosion,Iron & Steel
subcontractor,spark erosion,Iron & Steel
service provider,oxygen cutting,Iron & Steel
missing,oxygen cutting,Iron & Steel
subcontractor,oxygen cutting,Iron & Steel
multi-category,oxygen cutting,Iron & Steel
wholesaler,metal treatment,Iron & Steel
multi-category,mechanical engineering,Food Related Products
service provider,screw cutting,Iron & Steel
wholesaler,screw cutting,Iron & Steel
missing,screw cutting,Iron & Steel
service provider,tapping machine tools,Iron & Steel
service provider,boring,Iron & Steel
manufacturer/ producer,boring,Iron & Steel
service provider,precision machining,Iron & Steel
subcontractor,precision machining,Iron & Steel
service provider,machining of steel high-precision,Iron & Steel
service provider,machining of metals high-precision,Iron & Steel
service provider,industrial engraving,Iron & Steel
service provider,industrial marking,Iron & Steel
service provider,marking on all surfaces,Iron & Steel
service provider,sharpening steels,Iron & Steel
distributor,sharpening steels,Iron & Steel
wholesaler,sharpening steels,Iron & Steel
missing,sharpening steels,Iron & Steel
service provider,sharpening metals,Iron & Steel
distributor,sharpening metals,Iron & Steel
wholesaler,sharpening metals,Iron & Steel
missing,sharpening metals,Iron & Steel
service provider,grinding of cutting tools,Iron & Steel
service provider,sharpening of ancillary tools,Iron & Steel
subcontractor,nickel plating,Iron & Steel
service provider,chromium plating,Iron & Steel
missing,metallurgy,Iron & Steel
service provider,cleaning steel,Iron & Steel
missing,cleaning steel,Iron & Steel
agent/ representative,cleaning steel,Iron & Steel
service provider,metal cleaning,Iron & Steel
missing,metal cleaning,Iron & Steel
agent/ representative,metal cleaning,Iron & Steel
subcontractor,metal cleaning,Iron & Steel
service provider,digital radiography,Iron & Steel
multi-category,digital radiography,no_match
subcontractor,coating,Iron & Steel
service provider,metal hardware,Iron & Steel
manufacturer/ producer,metal hardware,Iron & Steel
wholesaler,metal hardware,Other Metals
subcontractor,metal hardware,Iron & Steel
service provider,industrial cutting tool sharpening,Iron & Steel
service provider,metallization of plastic materials,Iron & Steel
subcontractor,metallization of plastic materials,Iron & Steel
distributor,painting,Other Industry
service provider,"stone grinding of to 10,000 kg weights",Iron & Steel
service provider,surface finishing,Iron & Steel
service provider,hard chrome plating of calender rolls,Iron & Steel
missing,safes,Food Related Products
missing,vaults,Food Related Products
retailer,equipped offices services,Machinery & Equipment
retailer,industrial premises services,Machinery & Equipment
multi-category,radar,Automotive LDV
multi-category,radio navigation equipment,Automotive LDV
missing,"personnel recruitment, international",Food Related Products
agent/ representative,"personnel recruitment, international",Automotive HDV
agent/ representative,"drinks, soft",Food Related Products
retailer,"drinks, soft",Food Related Products
agent/ representative,hotel,Machinery & Equipment
retailer,aeration equipment,Automotive LDV
retailer,ventilaiton equipment,Automotive LDV
agent/ representative,used equipment,Machinery & Equipment
wholesaler,quality certification,no_match
service provider,"blades, industrial",Iron & Steel
missing,"blades, industrial",Iron & Steel
service provider,industrial knives,Iron & Steel
missing,industrial knives,Iron & Steel
subcontractor,painting - contractors,Construction Residential
multi-category,painting - contractors,Construction Residential
agent/ representative,painting - contractors,Construction Residential
retailer,painting - contractors,Construction Residential
missing,"wheel rims, vehicle",Automotive LDV
agent/ representative,"wheel rims, vehicle",Automotive LDV
retailer,"wheel rims, vehicle",Automotive LDV
agent/ representative,chemistry raw materials,Food Related Products
agent/ representative,chemistry derivatives,Food Related Products
agent/ representative,vehicle part,Food Related Products
multi-category,spare parts for motorcycle,Automotive LDV
multi-category,nursery,Fishing & Forestry
agent/ representative,nursery,Fishing & Forestry
subcontractor,"construction, industrial, contractors",Construction Buildings
agent/ representative,"construction, industrial, contractors",Other Industry
distributor,systems for heat treating metals,Iron & Steel
subcontractor,systems for heat treating metals,Iron & Steel
distributor,machinery for treating metals,Iron & Steel
subcontractor,machinery for treating metals,Iron & Steel
missing,electrolysis - surface treatment,Iron & Steel
agent/ representative,vehicle accessories,Automotive HDV
agent/ representative,vehicle equipment,Automotive HDV
subcontractor,vehicle equipment,Other Transport
retailer,thermal insulation material,Construction Residential
subcontractor,ceilings,Construction Buildings
multi-category,ceilings,Construction Buildings
retailer,ceilings,Construction Buildings
wholesaler,ironwork construction,Other Transport
retailer,binding machinery,Machinery & Equipment
retailer,binding equipment,Machinery & Equipment
service provider,metal fitting,Iron & Steel
missing,office shelving,Food Related Products
multi-category,office shelving,Iron & Steel
multi-category,lift,Machinery & Equipment
retailer,lift,Machinery & Equipment
subcontractor,lift,Machinery & Equipment
agent/ representative,lift,Machinery & Equipment
multi-category,"sun protection, interior",Construction Residential
agent/ representative,"sun protection, interior",Construction Residential
retailer,"sun protection, interior",Construction Residential
multi-category,"sun protextion, exterior",Construction Residential
agent/ representative,"sun protextion, exterior",Construction Residential
retailer,"sun protextion, exterior",Construction Residential
retailer,"maintenance products, household",Automotive LDV
service provider,"detergents, household",Iron & Steel
service provider,ecological housekeeping products,Iron & Steel
distributor,ecological housekeeping products,Automotive LDV
multi-category,print,Other Industry
missing,rubber tubes,Machinery & Equipment
missing,rubber pipes,Machinery & Equipment
wholesaler,furnishing treatment,Fishing & Forestry
missing,furnishing treatment,Fishing & Forestry
agent/ representative,furnishing treatment,Fishing & Forestry
retailer,furnishing treatment,Fishing & Forestry
wholesaler,furnishing protection,Fishing & Forestry
missing,furnishing protection,Fishing & Forestry
agent/ representative,furnishing protection,Fishing & Forestry
retailer,furnishing protection,Fishing & Forestry
missing,composition,Other Industry
missing,photocomposition,Other Industry
missing,photoengraving,Other Industry
retailer,photoengraving,Construction Residential
agent/ representative,raw materials,Construction Buildings
missing,rubber processing,Iron & Steel
distributor,plastic processing,Iron & Steel
missing,plastic processing,Iron & Steel
retailer,"household products, plastics",Other Industry
distributor,personnel - external management,Machinery & Equipment
service provider,"threads, elastic",Iron & Steel
manufacturer/ producer,"threads, elastic",Agriculture & Livestock
wholesaler,"threads, elastic",Other Industry
service provider,"fabrics, elastic",Iron & Steel
manufacturer/ producer,"fabrics, elastic",Agriculture & Livestock
wholesaler,"fabrics, elastic",Other Industry
wholesaler,testing of products,Automotive LDV
agent/ representative,bronzing,Other Metals
service provider,steel machining,Iron & Steel
wholesaler,steel machining,Iron & Steel
retailer,plastics machinery,Machinery & Equipment
retailer,plastics equipment,Machinery & Equipment
agent/ representative,inorganic derivatives,Food Related Products
agent/ representative,electricity equipment,Total Power
retailer,electricity equipment,Total Power
service provider,xarboxylic acids,Iron & Steel
service provider,ferrous metal sheet,Iron & Steel
retailer,ferrous metal sheet,Iron & Steel
service provider,"abrasives, mechanical",Iron & Steel
service provider,"metalworking hand tools, non-power",Iron & Steel
missing,"metalworking hand tools, non-power",Iron & Steel
service provider,metalworking - portable power tools,Iron & Steel
service provider,cncn turned,Iron & Steel
manufacturer/ producer,cncn turned,Iron & Steel
service provider,cnc milled parts,Iron & Steel
service provider,cnc grinding,Iron & Steel
manufacturer/ producer,cnc grinding,Iron & Steel
service provider,cnc cutting,Iron & Steel
service provider,component assembly,Iron & Steel
service provider,cnc measuring technology,Iron & Steel
service provider,cnc boring mill machining,Iron & Steel
service provider,cnc machining of large components,Iron & Steel
service provider,cnc small,Iron & Steel
service provider,large-scale production runs,Iron & Steel
service provider,cnc functional assemblies,Iron & Steel
distributor,stainless steel pipe,Iron & Steel
distributor,stainless steel tube,Iron & Steel
manufacturer/ producer,concert halls equipment,Machinery & Equipment
multi-category,testing equipment,Automotive HDV
retailer,porcelain,Construction Buildings
retailer,earthenware,Construction Buildings
wholesaler,compactors,Construction Buildings
wholesaler,crushers,Construction Buildings
service provider,waste presses,Iron & Steel
manufacturer/ producer,waste presses,Fishing & Forestry
agent/ representative,wood panel,Fishing & Forestry
missing,software - business management,Other Transport
subcontractor,software - business management,Total Energy
missing,trimming,Fishing & Forestry
retailer,trimming,Fishing & Forestry
service provider,industrial deflashing,Iron & Steel
multi-category,metal polishing,Iron & Steel
distributor,steel sheet,Iron & Steel
missing,steel sheet,Iron & Steel
retailer,steel sheet,Iron & Steel
service provider,welding accessory,Iron & Steel
agent/ representative,welding accessory,Fishing & Forestry
distributor,warehouse logistics,Other Transport
multi-category,warehouse logistics,Other Transport
agent/ representative,warehouse logistics,Other Transport
wholesaler,logistics,Fishing & Forestry
missing,logistics,Other Transport
subcontractor,logistics,Other Transport
agent/ representative,integrated logistics,Other Transport
distributor,integrated logistics,Other Transport
manufacturer/ producer,metals equipment,Other Transport
wholesaler,metals equipment,Machinery & Equipment
service provider,steel boilermaking,Iron & Steel
service provider,stainless steel boilermaking,Iron & Steel
service provider,mechanically welded constructions,Iron & Steel
subcontractor,mechanically welded constructions,Iron & Steel
service provider,aluminium sheet metal work,Iron & Steel
wholesaler,handling machines,Machinery & Equipment
subcontractor,handling machines,Machinery & Equipment
wholesaler,handling equipment,Machinery & Equipment
subcontractor,handling equipment,Machinery & Equipment
service provider,piping construction,Iron & Steel
subcontractor,piping construction,Iron & Steel
service provider,construction of tubing,Iron & Steel
subcontractor,construction of tubing,Iron & Steel
manufacturer/ producer,industrial moving,Other Transport
distributor,"cleaning, industrial",Oil Energy
service provider,pickling - machinery,Iron & Steel
manufacturer/ producer,pickling - machinery,Iron & Steel
service provider,stainless steel pickling,Iron & Steel
manufacturer/ producer,stainless steel pickling,Iron & Steel
subcontractor,stainless steel pickling,Iron & Steel
service provider,wooden frame paint stripping,Iron & Steel
service provider,metal degreasing,Iron & Steel
manufacturer/ producer,metal degreasing,Iron & Steel
agent/ representative,metal degreasing,Iron & Steel
service provider,capillary tubes,Iron & Steel
manufacturer/ producer,capillary tubes,Iron & Steel
distributor,capillary tubes,Iron & Steel
service provider,cannulae,Iron & Steel
manufacturer/ producer,"online purchasing management, e-procurement",Iron & Steel
service provider,industrial assemblies,Iron & Steel
service provider,stainless steel electropolishing,Iron & Steel
manufacturer/ producer,stainless steel electropolishing,Iron & Steel
multi-category,stainless steel electropolishing,Iron & Steel
wholesaler,model making,Other Industry
retailer,"boilermaking, naval",Other Industry
service provider,pipework,Iron & Steel
subcontractor,refrigeration equipment,Fishing & Forestry
multi-category,refrigeration equipment,Machinery & Equipment
multi-category,heat exchangers,Machinery & Equipment
service provider,screws,Iron & Steel
missing,screws,Iron & Steel
service provider,washer fastenings,Iron & Steel
manufacturer/ producer,washer fastenings,Iron & Steel
service provider,c-parts management,Iron & Steel
service provider,turned parts made from various materials,Iron & Steel
wholesaler,turned parts made from various materials,Iron & Steel
service provider,nuts made to order,Iron & Steel
wholesaler,nuts made to order,Iron & Steel
service provider,screws made to order,Iron & Steel
wholesaler,screws made to order,Iron & Steel
service provider,special screw,Iron & Steel
service provider,connecting elements,Iron & Steel
service provider,compression springs,Iron & Steel
subcontractor,metals recovery,Other Metals
agent/ representative,metals recovery,Other Metals
retailer,metals recovery,Other Metals
wholesaler,scrap metal purchase,Iron & Steel
missing,scrap metal purchase,Iron & Steel
multi-category,metal surface treatment,Iron & Steel
subcontractor,metal surface treatment,Iron & Steel
multi-category,sorting machine,Other Metals
missing,non-ferrous metal,Other Metals
manufacturer/ producer,metal trade,Iron & Steel
subcontractor,waste recycling,Agriculture & Livestock
agent/ representative,recycling,Other Transport
service provider,nozzles - ferrous metal,Iron & Steel
distributor,nozzles - ferrous metal,Machinery & Equipment
service provider,worm gears for transmissions,Iron & Steel
service provider,stainless steel cylinders,Iron & Steel
manufacturer/ producer,stainless steel cylinders,Iron & Steel
service provider,anti-wear equipment,Iron & Steel
multi-category,lifting - vehicles,Machinery & Equipment
multi-category,"gas, compressed",Agriculture & Livestock
multi-category,"gases, liquefied",Agriculture & Livestock
agent/ representative,recovery,Other Transport
distributor,stairs,Other Industry
wholesaler,handrails,Iron & Steel
multi-category,handrails,Iron & Steel
distributor,packaging contractors,Other Industry
retailer,wood products,Fishing & Forestry
missing,picture frame,Fishing & Forestry
missing,spring,Iron & Steel
service provider,spiral springs,Iron & Steel
wholesaler,spiral springs,Iron & Steel
service provider,leaf springs,Iron & Steel
wholesaler,leaf springs,Iron & Steel
service provider,cast steel,Iron & Steel
missing,cast steel,Iron & Steel
multi-category,cast steel,Iron & Steel
retailer,water jet cutting system,Iron & Steel
retailer,fireplaces ornamental,Construction Residential
retailer,fireplace accessory,Construction Residential
retailer,ornamental,Construction Residential
retailer,stoves accessories,Construction Residential
multi-category,wheel,Iron & Steel
multi-category,castors,Iron & Steel
multi-category,rollers,Iron & Steel
retailer,"framework, wood",Fishing & Forestry
subcontractor,filter equipment,Iron & Steel
subcontractor,filtering supplies,Iron & Steel
multi-category,automation systems,Machinery & Equipment
multi-category,automation equipment,Machinery & Equipment
service provider,metal beams for the building trade,Iron & Steel
service provider,mechatronics,Iron & Steel
manufacturer/ producer,mechatronics,Iron & Steel
service provider,technical textiles for the transport industry,Iron & Steel
wholesaler,metal turning,Iron & Steel
missing,metal turning,Iron & Steel
service provider,painting of rubber,Iron & Steel
retailer,painting of rubber,Other Industry
service provider,painting of plastic,Iron & Steel
retailer,painting of plastic,Other Industry
service provider,varnishing of rubber,Iron & Steel
retailer,varnishing of rubber,Other Industry
service provider,varnishing of plastic,Iron & Steel
retailer,varnishing of plastic,Other Industry
distributor,diamonds,Other Industry
wholesaler,diamonds,Other Industry
missing,diamonds,Other Metals
wholesaler,sheets non-ferrous metal,Iron & Steel
retailer,sheets non-ferrous metal,Iron & Steel
wholesaler,bands non-ferrous metal,Iron & Steel
retailer,bands non-ferrous metal,Iron & Steel
service provider,galvanising,Iron & Steel
distributor,galvanising,Iron & Steel
subcontractor,galvanising,Iron & Steel
service provider,paint stripping,Iron & Steel
manufacturer/ producer,paint stripping,Iron & Steel
service provider,hot galvanizing,Iron & Steel
manufacturer/ producer,hot galvanizing,Iron & Steel
service provider,galvanization of parts,Iron & Steel
service provider,plasma cutting,Iron & Steel
distributor,plasma cutting,Iron & Steel
subcontractor,plasma cutting,Iron & Steel
service provider,pliage de toles grandes longueur,Iron & Steel
service provider,travail sur presse,Iron & Steel
service provider,tool manufacturer,Iron & Steel
service provider,thermal paint stripping,Iron & Steel
distributor,metal impregnation,Other Metals
service provider,paints for metal,Iron & Steel
manufacturer/ producer,powder paints,Iron & Steel
retailer,powder paints,Iron & Steel
service provider,industrial business associations,Iron & Steel
service provider,treatment of wood surfaces,Iron & Steel
manufacturer/ producer,treatment of wood surfaces,Iron & Steel
service provider,anti-corrosion protection,Iron & Steel
service provider,hot-dip galvanised panels,Iron & Steel
multi-category,hot-dip galvanised panels,Iron & Steel
service provider,systems for pickling metals,Iron & Steel
multi-category,systems for pickling metals,Iron & Steel
service provider,machinery for pickling metals,Iron & Steel
multi-category,machinery for pickling metals,Iron & Steel
service provider,fire paint stripping,Iron & Steel
manufacturer/ producer,fire paint stripping,Iron & Steel
subcontractor,gravelling,Iron & Steel
service provider,industrial sprayers for surface treatment,Iron & Steel
missing,industrial sprayers for surface treatment,Machinery & Equipment
subcontractor,industrial painting,Iron & Steel
distributor,industrial painting,Construction Buildings
wholesaler,industrial painting,Construction Residential
service provider,yellow galvanizing,Iron & Steel
service provider,black galvanizing,Iron & Steel
manufacturer/ producer,aluminium coating,Other Metals
service provider,sawings,Iron & Steel
